"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.170204167E-2,9.225184295E-1,8.839592582E-1,-5.574203306E-1,1.393966157E0
2.173504166E-2,8.951274401E-1,4.146529591E-1,-9.314404035E-1,1.356750322E0
3.176704168E-2,1.133827155E0,-6.049143398E-1,-1.112476632E0,1.699732224E0
4.179904168E-2,1.360329579E0,-7.284411559E-1,-1.164181806E0,1.932987935E0
5.183204167E-2,1.370551973E0,-4.085774097E-1,-9.693151581E-1,1.727692127E0
6.186404167E-2,6.417893668E-1,1.053697497E-1,-7.578681457E-1,9.986793788E-1
7.189604169E-2,-5.289471678E-1,5.384458235E-1,-4.230226636E-1,8.652497819E-1
8.192904168E-2,-1.378413993E0,6.561634308E-1,1.225962317E-1,1.531536947E0
9.196104167E-2,-1.666462308E0,3.243903682E-1,2.750109243E-1,1.719871142E0
1.019930417E-1,-1.091079331E0,-9.911498308E-2,4.310713559E-1,1.177327652E0
1.120268333E-1,-1.407570988E-2,-3.523798200E-1,6.679157495E-1,7.553020003E-1
1.220588333E-1,7.299687409E-1,-3.920014304E-1,4.080496985E-1,9.235930059E-1
1.320908333E-1,7.636969426E-1,-3.549476248E-1,5.051479769E-1,9.820363105E-1
1.421238333E-1,5.305476969E-1,-4.936783710E-1,7.555427080E-1,1.046921189E0
1.521558333E-1,2.404597270E-1,-5.484238046E-1,6.191961640E-1,8.613904105E-1
1.621888333E-1,3.322699298E-1,-4.948940071E-1,5.111214924E-1,7.852188004E-1
1.722208333E-1,5.172436734E-1,-5.442120552E-1,3.194456702E-1,8.159370778E-1
1.822528333E-1,7.341278654E-1,-7.329201230E-1,2.867445320E-1,1.076261147E0
1.922858333E-1,1.170574786E0,-9.643339151E-1,3.887872159E-1,1.565675806E0
2.023178333E-1,1.445419138E0,-1.052563722E0,2.649572217E-1,1.807575504E0
2.123498333E-1,1.478252715E0,-8.630298807E-1,1.668672556E-1,1.719853583E0
2.223828333E-1,1.331381476E0,-4.659415188E-1,-5.765062273E-2,1.411737131E0
2.324148333E-1,1.005145288E0,-1.078412215E-1,-5.115261197E-1,1.132963260E0
2.424468333E-1,5.996680717E-1,2.694046140E-2,-1.190553333E0,1.333320976E0
2.524798333E-1,3.974453343E-1,2.426094559E-1,-9.023405653E-1,1.015401712E0
2.625118333E-1,4.601893204E-1,4.746746278E-1,-9.418987334E-2,6.678038224E-1
2.725438333E-1,4.114673960E-1,1.512236148E-3,-5.280211151E-1,6.694131779E-1
2.825768333E-1,4.507710640E-1,-4.070391534E-1,-3.922791731E-1,7.230203139E-1
2.926088333E-1,6.364583141E-1,-2.356936616E-1,7.623658240E-2,6.829661076E-1
3.026408333E-1,9.149307901E-1,-1.472420995E-1,2.792448932E-1,9.678617137E-1
3.126738333E-1,9.637503630E-1,-2.083348319E-1,3.957565123E-1,1.062469473E0
3.227058333E-1,7.703665692E-1,-2.908092239E-1,7.368187541E-1,1.104959968E0
3.327378333E-1,4.325102095E-1,-2.843237847E-1,7.021137750E-1,8.722779654E-1
3.427708333E-1,2.350200623E-1,-2.009271406E-1,1.780254972E-1,3.567901669E-1
3.528028333E-1,4.992222624E-1,-1.277388579E-1,-4.630281436E-1,6.927735163E-1
3.628348333E-1,7.864220001E-1,-1.216440126E-2,-7.939863968E-1,1.117596498E0
3.728678333E-1,7.784083910E-1,6.214581594E-2,-1.238632649E0,1.464237878E0
3.828998333E-1,4.782360207E-1,-4.713013691E-1,-1.901222754E0,2.016304201E0
3.929328333E-1,7.799593650E-1,-6.627672762E-3,-2.058455552E0,2.201276856E0
4.029648333E-1,5.755532773E-1,1.174824762E0,-2.078438997E0,2.455887509E0
4.129968333E-1,4.112294143E-1,1.519323704E0,-1.174131428E0,1.963679903E0
4.230298333E-1,9.833645555E-1,1.478116183E0,-3.116805679E-1,1.802492185E0
4.330618333E-1,1.527628943E0,8.589762984E-1,2.391938049E-1,1.768814333E0
4.430938333E-1,1.358300741E0,8.264527693E-2,2.075909491E0,2.482178753E0
4.531268333E-1,6.456166618E-1,-8.865187307E-1,2.955523099E0,3.152436061E0
4.631588333E-1,-5.379474214E-1,-9.961071002E-1,2.158844644E0,2.437668349E0
4.731908333E-1,-1.085643248E0,2.422530681E-2,1.738040999E0,2.049388845E0
4.832238333E-1,-7.103289668E-1,1.095057192E0,-3.211992502E-2,1.305660440E0
4.932558333E-1,-5.013336919E-2,5.911947253E-1,-7.838818234E-1,9.831049136E-1
5.032878333E-1,5.798821172E-1,1.175767187E0,-1.152111983E-1,1.316041552E0
5.133208333E-1,1.049552405E0,1.877611697E0,-6.287914449E-1,2.241063279E0
5.233528333E-1,1.248195477E0,1.559538953E0,-1.397132539E0,2.437649078E0
5.333848333E-1,1.056609849E0,7.166163316E-1,-8.037869149E-1,1.508653951E0
5.434178333E-1,1.022993767E0,3.435069627E-1,-7.956440824E-1,1.340732183E0
5.534498333E-1,1.077042944E0,8.937030584E-2,-1.109400997E0,1.548799253E0
5.634818333E-1,6.504958709E-1,6.161345619E-1,-1.233354367E0,1.524444053E0
5.735148333E-1,2.992705105E-1,1.377186224E0,-1.327735444E0,1.936255702E0
5.835468333E-1,7.553567666E-1,1.822050285E0,-1.491638746E0,2.472936965E0
5.935798333E-1,1.893967090E0,1.765373223E0,-1.399946219E0,2.943382981E0
6.036118333E-1,2.448181831E0,1.246490429E0,-9.036088264E-1,2.892030702E0
6.136438333E-1,2.195933533E0,6.868373394E-1,-4.029035640E-1,2.335851214E0
6.236768333E-1,1.863999964E0,2.650414217E-1,-2.795928025E-1,1.903395638E0
6.337088333E-1,1.550083129E0,2.491346562E-1,-6.509991699E-1,1.699595746E0
6.437408333E-1,1.503286692E0,7.116654941E-1,-1.536309720E0,2.264196592E0
6.537738333E-1,1.945349498E0,1.380267999E0,-2.749930319E0,3.640280370E0
6.638058333E-1,2.161905954E0,1.812294498E0,-2.731443177E0,3.926707339E0
6.738378333E-1,1.450936132E0,1.808758833E0,-1.794930314E0,2.932336782E0
6.838708333E-1,1.612709586E-1,1.681211325E0,-1.224896370E0,2.086348714E0
6.939028333E-1,-5.907844701E-1,1.492300943E0,1.189725367E0,1.997857564E0
7.039348333E-1,-1.089113936E0,1.309007690E0,2.344211320E0,2.897412123E0
7.139678333E-1,-9.315338127E-1,1.288953056E0,3.183196719E0,3.558355881E0
7.239998333E-1,1.214603004E-1,1.118059407E0,2.186476831E0,2.458757893E0
7.340318333E-1,7.853322984E-1,1.755036369E0,1.190566197E0,2.261492283E0
7.440648333E-1,1.145115132E0,1.966837285E0,4.265561360E-1,2.315531841E0
7.540968333E-1,1.339780562E0,1.871059307E0,-3.603580534E-1,2.329320247E0
7.641298333E-1,1.211701835E0,2.092391476E0,-2.157564104E-1,2.427524306E0
7.741618333E-1,1.300013503E0,1.958811250E0,-2.333103365E-1,2.362500864E0
7.841938333E-1,1.281328433E0,1.748232111E0,-3.420118296E-1,2.194331369E0
7.942268333E-1,1.306618371E0,1.422174263E0,-2.693695307E-1,1.949972088E0
8.042588333E-1,1.440746335E0,9.528874058E-1,-2.279747522E-1,1.742330881E0
8.142908333E-1,1.525778592E0,5.847955325E-1,-1.411523706E-1,1.640094545E0
8.243238333E-1,1.536110622E0,4.165467992E-1,-1.474954301E-1,1.598406075E0
8.343558333E-1,1.397481910E0,3.886112148E-1,-3.053877944E-1,1.482307684E0
8.443878333E-1,1.283249828E0,4.901378088E-1,-5.199601436E-1,1.468783082E0
8.544208333E-1,1.181384168E0,8.075368074E-1,-6.981581336E-1,1.592233974E0
8.644528333E-1,9.560910221E-1,1.193078088E0,-7.052969992E-1,1.683742624E0
8.744848333E-1,7.897856840E-1,1.451294859E0,-5.718758172E-1,1.748445064E0
8.845178333E-1,7.818808331E-1,1.493378293E0,-3.970949399E-1,1.731820070E0
8.945498333E-1,8.689919210E-1,1.411885356E0,-1.986620754E-1,1.669740650E0
9.045828333E-1,1.023949714E0,1.315570605E0,3.262629390E-2,1.667412219E0
9.146148333E-1,1.237044252E0,1.208992601E0,2.984717077E-1,1.755285433E0
9.246468333E-1,1.458032167E0,1.090535979E0,6.173186231E-1,1.922552679E0
9.346798333E-1,1.581506212E0,9.674732852E-1,1.065911745E0,2.138535551E0
9.447118333E-1,1.495791146E0,8.404753426E-1,1.546903705E0,2.310130089E0
9.547438333E-1,1.261403753E0,6.501554167E-1,1.858243965E0,2.338142880E0
9.647768333E-1,9.027394185E-1,2.970862465E-1,2.053592423E0,2.262839043E0
9.748088333E-1,4.831496187E-1,-8.469193032E-2,2.041144871E0,2.099256692E0
9.848408333E-1,2.105702407E-1,-4.000597706E-1,1.731466389E0,1.789514879E0
9.948738333E-1,8.784906132E-2,-5.660945289E-1,1.357659740E0,1.473574037E0
1.004905833E0,1.357738915E-1,-6.023300897E-1,1.106909498E0,1.267471784E0
1.014937833E0,3.517654970E-1,-6.203746703E-1,9.385909635E-1,1.178794593E0
1.024970833E0,4.542154395E-1,-5.516952487E-1,8.067573005E-1,1.077746099E0
1.035002833E0,1.235500313E-1,-2.948361283E-1,7.039188105E-1,7.731071365E-1
