"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.171583310E-3,-2.536858365E-1,-3.955097598E-1,-1.660542587E0,1.725742205E0
1.120358333E-2,-1.511435080E-1,-6.404098624E-1,-1.644978468E0,1.771700684E0
2.123558323E-2,-3.107970536E-1,-2.959679300E-1,-1.315096688E0,1.383355024E0
3.126758325E-2,-2.280864340E-1,2.620344910E-1,-8.011942595E-1,8.732684223E-1
4.129958327E-2,5.489950776E-2,7.020371765E-1,-4.272472769E-1,8.236567178E-1
5.133158329E-2,3.252443540E-1,8.956162673E-1,-4.463916457E-1,1.052225209E0
6.136383326E-2,4.667498964E-1,8.115219042E-1,-2.749840271E-1,9.757251057E-1
7.139583328E-2,3.558861029E-1,6.332686579E-1,2.453784049E-1,7.667428988E-1
8.142783330E-2,2.645128334E-1,2.049033934E-1,7.385109383E-1,8.107717593E-1
9.145983332E-2,4.487784791E-1,-6.975377440E-1,4.892318559E-1,9.629687619E-1
1.014918333E-1,6.502998430E-1,-1.306270316E0,-1.177915746E-1,1.463935408E0
1.115238332E-1,4.764615369E-1,-1.017139535E0,-2.050226766E-1,1.141762991E0
1.215558333E-1,2.820240748E-1,-2.458932522E-1,2.293102562E-2,3.748691801E-1
1.315878333E-1,3.260501003E-1,3.798652419E-1,8.326259673E-2,5.074829356E-1
1.416198333E-1,3.765489936E-1,6.536935669E-1,-5.682324171E-3,7.544115010E-1
1.516518333E-1,3.242117357E-1,6.846156898E-1,-1.955671442E-1,7.823416135E-1
1.616828333E-1,2.909527731E-1,4.536837083E-1,-3.424223042E-1,6.385416648E-1
1.717148332E-1,3.498880291E-1,8.030127436E-2,-6.670749199E-1,7.575347361E-1
1.817468333E-1,3.943467486E-1,-9.449597508E-2,-1.072642475E0,1.146734811E0
1.917788333E-1,3.077652723E-1,2.020739257E-2,-1.038410536E0,1.083247083E0
2.018108333E-1,4.200932086E-1,1.171457496E-1,-9.030977798E-1,1.002889341E0
2.118428333E-1,-1.560434747E-1,2.752249324E-1,-4.574194944E-1,5.561752631E-1
2.218748333E-1,-1.006893751E0,2.937953970E-1,6.130630195E-2,1.050670845E0
2.319068332E-1,-1.075638296E0,9.945090562E-2,3.989508462E-1,1.151542446E0
2.419388333E-1,-1.002817950E0,1.020140326E-1,9.497620690E-1,1.384954400E0
2.519708333E-1,-5.370962861E-1,2.196041706E-1,1.194990200E0,1.328420111E0
2.620028333E-1,-3.195152521E-2,4.041925827E-1,9.874000114E-1,1.067404013E0
2.720348333E-1,1.297912306E-1,5.561102620E-1,4.386236197E-1,7.200660155E-1
2.820668333E-1,6.187231243E-2,5.541464746E-1,5.426216125E-4,5.575901656E-1
2.920988332E-1,-2.966918153E-1,5.681043631E-1,6.946258307E-2,6.446655342E-1
3.021298333E-1,-1.939234918E-1,2.641149303E-1,-1.533508319E-1,3.617727114E-1
3.121618333E-1,3.840056553E-1,-6.327997112E-1,-4.857112473E-1,8.853311435E-1
3.221938333E-1,-1.922836402E-1,-8.892194134E-1,-3.965108031E-1,9.924237907E-1
3.322258333E-1,-1.077431345E-1,-5.700172797E-1,-2.983582717E-1,6.523388234E-1
3.422578333E-1,-1.391467756E-1,-9.816796803E-1,-1.284925640E-2,9.915754754E-1
3.522898332E-1,-3.836419585E-1,-1.816119746E0,3.794164681E-1,1.894578830E0
3.623218333E-1,4.100479844E-1,-3.000763591E0,-9.397376025E-1,3.171092594E0
3.723538333E-1,1.767299296E0,-3.257807191E0,-2.594341757E0,4.524076000E0
3.823858333E-1,1.842602078E0,-2.980436330E0,-3.675602444E0,5.078211936E0
3.924178333E-1,1.165290292E0,-2.844717193E0,-4.023188424E0,5.063236363E0
4.024498332E-1,2.843541902E-1,-2.312266958E0,-3.602574229E0,4.290218743E0
4.124818332E-1,-5.858335960E-1,-1.959746366E0,-2.688818729E0,3.378395030E0
4.225138333E-1,-5.188974852E-1,-1.704433103E0,-1.454717088E0,2.300119260E0
4.325458333E-1,-3.963384564E-1,-3.171465451E0,3.693404292E0,4.884312903E0
4.425778333E-1,1.143556849E0,-3.751501057E0,-1.426418903E0,4.173266507E0
4.526098333E-1,1.100027179E0,-4.278346590E0,-1.650935612E0,4.715919606E0
4.626408333E-1,3.029420795E0,-5.283120725E0,-2.708096999E0,6.665023954E0
4.726728332E-1,4.320729255E0,-5.900399587E0,-1.558468913E0,7.477448892E0
4.827048333E-1,8.306232228E-1,-4.753111264E0,1.327005712E0,5.004292736E0
4.927368333E-1,3.793901264E0,-3.326193594E0,-6.617070006E0,8.321229842E0
5.027688333E-1,5.096057771E0,-3.138218767E0,-1.035424012E1,1.195945276E1
5.128008333E-1,-7.361888920E0,-2.571558666E0,-1.131478329E1,1.374171180E1
5.228328332E-1,-4.400549011E0,-4.774166211E0,-7.919173595E0,1.024064476E1
5.328648333E-1,1.989391019E0,-7.942556026E0,-3.882244214E0,9.061660609E0
5.428968333E-1,2.826908620E0,-8.765923512E0,-3.689595416E0,9.921992829E0
5.529288333E-1,2.576302805E0,-8.607901340E0,-3.940202985E0,9.811141686E0
5.629608333E-1,1.134641088E0,-7.994289851E0,-4.302209954E0,9.149048645E0
5.729928333E-1,2.580358726E-1,-7.978393611E0,-6.291174856E0,1.016367198E1
5.830248332E-1,-1.013691432E0,-7.983946127E0,-7.173826092E0,1.078122196E1
5.930568333E-1,-2.394505561E0,-8.169670653E0,-7.137555814E0,1.110953997E1
6.030888333E-1,-3.532574871E0,-9.196685550E0,-7.396565248E0,1.231938666E1
6.131208333E-1,-4.394145725E0,-1.104646392E1,-6.984724799E0,1.378837417E1
6.231518333E-1,-5.318000536E0,-1.305740792E1,-5.542873925E0,1.514927334E1
6.331838333E-1,-5.839938793E0,-1.467118681E1,-4.077041573E0,1.630861354E1
6.432158332E-1,-4.622222219E0,-1.485239086E1,-2.897673086E0,1.582260919E1
6.532478333E-1,-2.567027074E0,-1.369008718E1,-2.180906773E0,1.409838534E1
6.632798333E-1,2.821603149E-1,-1.246674324E1,-1.501508554E0,1.256000913E1
