"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.079166731E-3,-1.578292143E-1,2.683380818E-1,-8.757889438E-1,9.294738625E-1
1.511116675E-2,4.036186785E-3,3.290926990E-1,-3.988333172E-1,5.170941019E-1
2.514216676E-2,2.338257685E-1,2.315319058E-1,1.013755167E-1,3.443232621E-1
3.517416667E-2,3.303339167E-1,1.543825731E-1,4.400520945E-1,5.714895635E-1
4.520616669E-2,3.288488701E-1,1.523717156E-1,6.996509278E-1,7.879531330E-1
5.523716670E-2,2.667727822E-1,1.143209597E-1,8.176664507E-1,8.676493669E-1
6.526916672E-2,1.792770937E-1,5.212909698E-2,8.527240169E-1,8.729238043E-1
7.530116674E-2,9.929039955E-2,-2.768773556E-2,8.577251405E-1,8.638967593E-1
8.533216675E-2,7.930812478E-2,-7.659940213E-2,7.656005037E-1,7.734994365E-1
9.536416677E-2,5.273779213E-2,-6.942633033E-2,5.138802087E-1,5.212237130E-1
1.053961667E-1,3.349679813E-2,-3.757800847E-2,1.968406677E-1,2.031757630E-1
1.154271667E-1,-1.065285216E-1,1.042733967E-2,-2.028691471E-2,1.089431698E-1
1.254591667E-1,-9.268480003E-2,4.769983113E-2,-5.023109078E-2,1.157104512E-1
1.354911667E-1,1.880742297E-2,5.703578800E-2,2.666798115E-2,6.571134978E-2
1.455221667E-1,5.224311769E-2,3.628285021E-2,6.600921750E-2,9.166790802E-2
1.555541668E-1,1.040367307E-1,1.265278995E-2,9.709710896E-2,1.428691114E-1
1.655861667E-1,2.128221314E-1,-5.313101739E-2,4.926863909E-2,2.248189570E-1
1.756171667E-1,1.963597342E-1,-5.548101336E-2,-1.344029295E-1,2.443346794E-1
1.856491667E-1,1.077200380E-1,-3.604223728E-2,-2.548801303E-1,2.790457494E-1
1.956811667E-1,1.492501795E-3,-3.252806067E-2,-2.638462508E-1,2.658479760E-1
2.057121667E-1,-9.268509239E-2,-3.296777129E-2,-1.804205167E-1,2.054968690E-1
2.157441668E-1,-1.114398904E-1,-1.771121621E-2,-8.086757720E-2,1.388239943E-1
2.257761668E-1,-7.177164853E-2,-2.761435300E-2,-2.172708392E-2,7.991112688E-2
2.358071667E-1,-3.071147695E-2,-3.555253297E-2,3.526514232E-2,5.874357565E-2
2.458391667E-1,-2.737169355E-2,-2.314941913E-2,8.998514056E-2,9.686294821E-2
2.558711667E-1,-5.944162488E-2,-2.044040412E-2,1.253210342E-1,1.402015638E-1
2.659021667E-1,-5.890104979E-2,-1.633887470E-2,1.345859474E-1,1.478163378E-1
2.759341667E-1,-1.072139615E-1,2.252873719E-2,8.149439871E-2,1.365419883E-1
2.859661668E-1,-2.586429597E-1,1.407986140E-1,9.006817102E-2,3.079491935E-1
2.959971668E-1,-4.152973223E-1,4.113975218E-1,3.628647548E-1,6.880338779E-1
3.060291667E-1,-4.977910101E-1,7.319354519E-1,8.982697338E-1,1.261116137E0
3.160611667E-1,-5.617909782E-1,1.060216265E0,1.454783161E0,1.885752284E0
3.260921667E-1,-6.643505560E-1,1.574995191E0,1.887826783E0,2.546735454E0
3.361241667E-1,-1.466537819E0,2.191740494E0,1.686548663E0,3.130320425E0
3.461561668E-1,-1.133190393E-1,2.330420662E0,7.409334397E-1,2.447995921E0
3.561881668E-1,1.008816023E0,2.432345232E0,1.172249794E0,2.882391833E0
3.662191667E-1,1.137451259E0,2.675154078E0,3.855813046E0,4.828823765E0
3.762505001E-1,8.920482963E-1,1.977571018E0,5.765741719E0,6.160382688E0
3.862825000E-1,1.343291669E0,1.220047858E0,3.690540910E0,4.112546838E0
3.963135000E-1,2.174311699E0,1.483479542E-1,-4.600998580E-2,2.179852150E0
4.063455000E-1,6.368190873E-1,-8.285525045E-1,-1.065931041E0,1.492731318E0
4.163775000E-1,-1.144542763E0,-1.456359717E0,-1.374421368E0,2.306511621E0
4.264085001E-1,-6.238005540E-1,-2.164009051E0,-2.509817916E0,3.372128152E0
4.364405001E-1,3.326130152E-1,-2.584437743E0,-3.513754438E0,4.374519416E0
4.464725001E-1,1.098299181E0,-1.939528595E0,-4.783736933E0,5.277515638E0
4.565035000E-1,1.086952074E0,-1.372758566E0,-5.747075068E0,6.007895033E0
4.665355000E-1,7.673613927E-1,-1.911917312E0,-6.409300307E0,6.732265721E0
4.765675000E-1,4.765754114E-1,-2.008386137E0,-6.719466446E0,7.029364717E0
4.865985001E-1,-7.225164646E-1,-1.546897273E0,-5.736327301E0,5.985012290E0
