"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.586124999E-3,-8.555224943E-1,-2.845354539E-1,-2.757800671E0,2.901438213E0
1.161812502E-2,-6.471791840E-1,-2.394648233E-1,-2.037772781E0,2.151441890E0
2.165012504E-2,-3.813986742E-1,4.369916618E-2,-7.200916243E-1,8.160309511E-1
3.168312495E-2,-1.189031303E-2,2.397744334E-1,2.795530415E-1,3.684875323E-1
4.171512497E-2,4.439808387E-1,3.286854404E-1,7.909318113E-1,9.647415374E-1
5.174712499E-2,7.042830920E-1,3.791410643E-1,6.802755940E-1,1.050017859E0
6.177912501E-2,6.562026072E-1,4.027898356E-1,2.824719715E-1,8.201414073E-1
7.181212504E-2,4.198827088E-1,3.898622265E-1,-6.290083766E-2,5.764117974E-1
8.184412506E-2,8.396133900E-2,2.117481440E-1,-3.593751365E-1,4.254847491E-1
9.187612496E-2,-1.617339849E-1,-7.189210117E-2,-4.418834424E-1,4.760119040E-1
1.019091250E-1,-3.279773426E-1,-2.572868443E-1,-2.723358232E-1,4.979281656E-1
1.119411250E-1,-3.346221185E-1,-1.675586888E-1,-2.907118678E-2,3.753571769E-1
1.219731250E-1,-9.435593426E-2,-8.191364408E-2,1.305858672E-1,1.807361506E-1
1.320051251E-1,1.596050137E-1,-5.571607143E-2,4.171169758E-2,1.741203800E-1
1.420381250E-1,2.504391700E-1,9.967836231E-2,-1.953496277E-2,2.702538965E-1
1.520701250E-1,2.702957296E-1,3.047098097E-1,-2.799705327E-2,4.082789299E-1
1.621021250E-1,3.082479599E-1,3.446036080E-1,-9.219889641E-2,4.714542267E-1
1.721351250E-1,2.488303086E-1,2.892927486E-1,-1.785622716E-1,4.212971655E-1
1.821671251E-1,1.206371221E-1,2.769638944E-1,-2.337056082E-1,3.819432227E-1
1.921991250E-1,5.214780807E-2,2.028296784E-1,-3.324492931E-1,3.929145006E-1
2.022321250E-1,-1.234274134E-1,1.475603342E-1,-5.492038232E-1,5.819220034E-1
