"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-5.486250157E-4,-8.976265401E-2,1.787037742E-1,-1.191987655E0,1.208646740E0
9.483375004E-3,-2.859428787E-1,9.788882196E-2,-1.141805681E0,1.181129021E0
1.951537502E-2,-1.583086860E-1,4.880349308E-2,-7.576991612E-1,7.755974728E-1
2.954737493E-2,-5.793713629E-2,1.249579221E-1,-4.308158326E-1,4.522979943E-1
3.957937495E-2,2.833180636E-2,8.394584388E-2,-1.897649521E-1,2.094285868E-1
4.961137497E-2,1.543471974E-1,-4.880173892E-2,-5.278047681E-2,1.702658093E-1
5.964437500E-2,2.254443696E-1,-1.387319157E-1,1.995947063E-2,2.654620287E-1
6.967637502E-2,2.985982999E-1,-9.776106030E-2,9.555578291E-2,3.284038326E-1
7.970837504E-2,2.699872890E-1,6.729005009E-2,8.953607440E-2,2.922974439E-1
8.974037494E-2,2.261255702E-1,2.156824431E-1,2.119001716E-1,3.775624088E-1
9.977237496E-2,1.719332832E-1,2.601022786E-1,4.201493418E-1,5.232014131E-1
1.098043750E-1,1.682644477E-1,1.660094690E-1,4.988043326E-1,5.519762952E-1
1.198373750E-1,1.322739583E-1,4.485428363E-2,3.866763711E-1,4.111288396E-1
1.298693750E-1,6.255117416E-2,-3.705643684E-2,1.738266116E-1,1.884184699E-1
1.399013749E-1,3.869804263E-2,-9.142238617E-2,-2.377477884E-2,1.020824731E-1
1.499333750E-1,1.896544397E-2,-9.813001961E-2,-1.405752504E-1,1.724835929E-1
1.599653750E-1,3.499880165E-2,-9.172234833E-2,-3.086914712E-1,3.239264264E-1
1.699975000E-1,5.760501444E-2,-4.881518751E-2,-4.831688780E-1,4.890331531E-1
1.800304999E-1,6.439012349E-2,9.630451888E-2,-7.422519869E-1,7.512380850E-1
1.900625000E-1,8.933960795E-2,2.870719761E-1,-1.017818981E0,1.061295135E0
2.000945000E-1,1.197082919E-1,3.813691458E-1,-1.172531630E0,1.238790912E0
