"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.268750057E-4,-6.972015291E-2,4.392045406E-1,-5.844140017E-1,7.343713322E-1
1.015887491E-2,-5.508223325E-2,3.161262059E-1,-1.344555545E-1,3.479197129E-1
2.018987492E-2,3.474854082E-2,9.900885612E-2,1.574684411E-1,1.892261204E-1
3.022187494E-2,1.621967921E-1,-1.628522649E-1,3.523614013E-1,4.206984867E-1
4.025287495E-2,1.558522707E-1,-1.892129749E-1,6.064287686E-1,6.541003987E-1
5.028487497E-2,6.581655174E-2,-4.066066056E-2,8.426966268E-1,8.462403397E-1
6.031687499E-2,5.625313818E-2,-2.891769737E-2,8.994052631E-1,9.016265724E-1
7.034787501E-2,6.950175941E-2,-2.906943262E-2,6.789102691E-1,6.830773602E-1
8.037975000E-2,3.571128488E-2,2.638439119E-2,3.763384938E-1,3.789486692E-1
9.041075001E-2,-5.746351182E-3,7.739900887E-2,1.792902499E-1,1.953679115E-1
1.004427499E-1,1.631460875E-2,8.455190778E-2,8.138096273E-2,1.184822884E-1
1.104737499E-1,7.711337239E-2,5.573536724E-2,-1.939521432E-3,9.516651252E-2
1.205057499E-1,8.231037766E-2,1.077671081E-2,-1.182827407E-1,1.445058563E-1
1.305377500E-1,5.417328358E-2,-2.085467935E-2,-1.914536279E-1,2.000603758E-1
1.405687500E-1,6.345018357E-2,-7.499346435E-3,-1.941702443E-1,2.044119609E-1
1.506007500E-1,1.192077702E-1,-9.314614534E-3,-2.543316615E-1,2.810370946E-1
1.606317500E-1,1.265872487E-1,-1.334626973E-2,-2.605589461E-1,2.899886530E-1
1.706637499E-1,1.755243507E-1,-1.802404225E-3,-2.821983218E-1,3.323370867E-1
1.806947499E-1,1.968421295E-1,-6.544203758E-3,-3.387525916E-1,3.918455932E-1
1.907267499E-1,1.683091789E-1,-2.502286702E-2,-3.547991055E-1,3.934927304E-1
2.007587500E-1,1.218483728E-1,-6.419365704E-3,-3.035850978E-1,3.271882422E-1
2.107897500E-1,5.377479583E-2,-2.585638762E-3,-3.162606919E-1,3.208102857E-1
2.208217500E-1,-1.270307600E-2,-2.625984550E-2,-3.796667290E-1,3.807857307E-1
2.308527500E-1,3.004153222E-2,-1.584303081E-3,-4.079386014E-1,4.090463374E-1
2.408847499E-1,6.180302292E-2,1.801351726E-2,-4.511512792E-1,4.557209422E-1
2.509157499E-1,7.476132989E-2,3.391268134E-2,-5.287303823E-1,5.350655507E-1
2.609477499E-1,3.531250477E-2,6.536894739E-3,-5.865751326E-1,5.876734554E-1
2.709797500E-1,-4.252767652E-2,3.397817016E-3,-6.349725366E-1,6.364041724E-1
2.810107500E-1,-1.989145289E-1,2.345347434E-2,-7.503386861E-1,7.766113566E-1
2.910427500E-1,-3.802013107E-1,1.449480906E-1,-6.993375170E-1,8.090957597E-1
3.010737500E-1,-6.859147950E-1,2.546044341E-1,-6.106744319E-1,9.530088067E-1
3.111057499E-1,-1.086272481E0,3.044370371E-1,-6.249626881E-1,1.289669793E0
3.211367499E-1,-1.362917995E0,3.276890749E-1,-5.786550790E-1,1.516498365E0
3.311687500E-1,-9.450253858E-1,3.572458729E-1,-6.239867878E-1,1.187458254E0
3.412007500E-1,-5.185304993E-1,3.560077250E-1,-6.088156021E-1,8.753695313E-1
