"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.117915761E-4,5.088059950E-1,4.131923246E-1,3.537249720E-1,7.448038624E-1
1.094379160E-2,4.019820428E-1,6.103142434E-1,1.263302636E-1,7.416416749E-1
2.097579162E-2,4.699550477E-1,2.746138984E-1,-2.908334899E-1,6.171342308E-1
3.100779164E-2,1.749919617E-1,-2.334220183E-1,-8.765537596E-1,9.238260219E-1
4.103879165E-2,1.409953728E-1,-3.576730120E-1,-1.297639825E0,1.353395284E0
5.107079167E-2,4.176996508E-1,-1.290983355E-1,-1.247045038E0,1.321461579E0
6.110279157E-2,5.274621212E-1,1.515282547E-1,-6.973985803E-1,8.874355645E-1
7.113479159E-2,2.561589164E-1,3.700375342E-1,-1.295748836E-1,4.683319524E-1
8.116679161E-2,1.822547883E-1,2.804470807E-1,1.063550055E-1,3.509683179E-1
9.119879163E-2,1.093940958E-1,-5.326813459E-4,2.432447559E-1,2.667121355E-1
1.012307917E-1,-1.110593829E-1,-5.693433881E-2,1.382217461E-1,1.862282378E-1
1.112617917E-1,-1.286861068E-1,3.157496452E-2,-2.497720027E-1,2.827421896E-1
1.212937916E-1,2.456356823E-2,7.092672586E-2,-6.335072243E-1,6.379383768E-1
1.313257916E-1,1.906815031E-1,3.421030462E-2,-8.186745107E-1,8.412833857E-1
1.413577916E-1,2.594769189E-1,8.152246535E-2,-8.079325908E-1,8.524841671E-1
1.513897916E-1,3.098705623E-1,2.003817415E-1,-7.199594772E-1,8.090205538E-1
1.614217917E-1,4.577852377E-1,2.574920815E-1,-6.335580951E-1,8.229613331E-1
1.714537916E-1,4.342364538E-1,1.484730846E-1,-5.851718009E-1,7.436609383E-1
1.814847916E-1,4.406341848E-1,3.689300716E-2,-6.453595304E-1,7.823097228E-1
1.915167916E-1,4.942072517E-1,2.370753586E-2,-6.263671893E-1,7.982096909E-1
2.015487916E-1,5.413998368E-1,1.222185016E-1,-5.329596734E-1,7.694784980E-1
2.115807916E-1,5.520636964E-1,1.872524035E-1,-5.389928305E-1,7.939465088E-1
2.216127916E-1,5.009976232E-1,1.897444868E-1,-5.655631632E-1,7.790143004E-1
2.316447917E-1,4.331149578E-1,1.552412367E-1,-6.551711583E-1,8.005858198E-1
2.416767916E-1,3.922174850E-1,1.970628619E-1,-8.222559303E-1,9.320800084E-1
2.517077916E-1,4.219874141E-1,2.908831912E-1,-9.226801050E-1,1.055473820E0
2.617397916E-1,5.127400017E-1,3.952314323E-1,-9.800389516E-1,1.174558019E0
2.717717916E-1,5.067106453E-1,4.503484565E-1,-1.029920379E0,1.233006649E0
2.818037916E-1,5.136901742E-1,4.745325404E-1,-1.069555146E0,1.277891598E0
2.918357917E-1,6.663001639E-1,4.970320415E-1,-1.078269251E0,1.361492320E0
3.018677916E-1,7.634610075E-1,4.929343128E-1,-1.014515305E0,1.362019915E0
3.118997916E-1,6.847247404E-1,4.695518821E-1,-8.603411847E-1,1.195622806E0
3.219307916E-1,4.650223365E-1,4.564874482E-1,-6.612066543E-1,9.283430420E-1
3.319627916E-1,-6.507161647E-2,7.370201907E-1,-2.795442706E-1,7.909349379E-1
3.419944999E-1,5.017758876E-1,5.555457133E-1,-4.759879124E-1,8.871158739E-1
3.520264999E-1,1.117885014E0,6.097669441E-1,-1.742393081E0,2.158104789E0
3.620584999E-1,6.740847082E-1,4.918414682E-1,-1.000384338E0,1.302715260E0
3.720905000E-1,7.690385203E-1,4.139466155E-1,-2.546848333E-1,9.097452448E-1
3.821225000E-1,8.342612873E-1,1.434865791E-1,-5.132025164E-1,9.899278341E-1
3.921535000E-1,6.485069405E-1,9.331922293E-2,-1.813490546E-1,6.798214536E-1
4.021854999E-1,5.393338694E-1,2.878291905E-1,2.254335523E-1,6.515726759E-1
4.122174999E-1,4.648083284E-1,3.366335607E-1,3.086721754E-1,6.516497896E-1
4.222494999E-1,3.444124040E-1,1.294190553E-1,5.183381259E-2,3.715587975E-1
4.322815000E-1,1.199860346E-1,-8.360144287E-2,-4.679690409E-1,4.902865213E-1
4.423135000E-1,1.062497556E-1,-8.196977735E-2,-8.416979223E-1,8.523282510E-1
4.523455000E-1,3.737774134E-1,1.445554501E-1,-1.048062535E0,1.122069922E0
4.623764999E-1,6.262543380E-1,4.319884917E-1,-1.021814969E0,1.273936569E0
4.724084999E-1,7.316292040E-1,5.829255930E-1,-8.957712185E-1,1.295179376E0
4.824404999E-1,7.436728603E-1,6.107095152E-1,-8.518609679E-1,1.285178020E0
4.924725000E-1,7.039460000E-1,5.658487996E-1,-6.762351680E-1,1.128281364E0
5.025045000E-1,7.067693281E-1,4.830805850E-1,-5.353845137E-1,1.009715956E0
5.125365000E-1,6.322222987E-1,3.690680659E-1,-4.286851072E-1,8.483437943E-1
5.225684999E-1,6.045929622E-1,4.010128668E-1,-2.660962594E-1,7.727555814E-1
5.325994999E-1,5.721973410E-1,5.233114752E-1,-4.535392821E-2,7.767378424E-1
5.426314999E-1,4.970123803E-1,6.442652240E-1,1.903695542E-1,8.356671300E-1
5.526635000E-1,3.955478398E-1,7.470347169E-1,3.167664760E-1,9.026959411E-1
5.626955000E-1,2.898909918E-1,8.261683023E-1,4.222566783E-1,9.720553242E-1
5.727275000E-1,2.616930867E-1,8.727472222E-1,4.388300264E-1,1.011307459E0
5.827594999E-1,3.010271602E-1,8.946196094E-1,4.604962993E-1,1.050246846E0
5.927914999E-1,3.723609985E-1,8.756763849E-1,4.838261050E-1,1.067496859E0
6.028224999E-1,4.005072288E-1,7.429103833E-1,5.181211942E-1,9.903390581E-1
6.128545000E-1,3.442239044E-1,4.464197123E-1,6.155796611E-1,8.346969361E-1
6.228865000E-1,2.910889401E-1,1.669380069E-3,5.657982212E-1,6.362886020E-1
6.329185000E-1,2.873943769E-1,-3.854888016E-1,3.683289778E-1,6.056924797E-1
6.429504999E-1,3.682434623E-1,-4.253942943E-1,4.432949603E-2,5.643834311E-1
6.529824999E-1,4.431071915E-1,-1.979209408E-1,-1.167747438E-1,4.991523042E-1
6.630144999E-1,4.813689588E-1,5.184346050E-2,-5.849554539E-2,4.876736078E-1
6.730465000E-1,4.845403058E-1,1.255367965E-1,1.938544947E-1,5.367665790E-1
6.830775000E-1,4.080121301E-1,-7.699438155E-2,5.626489109E-1,6.992680674E-1
6.931095000E-1,5.258271301E-2,-7.032320550E-1,5.430683398E-1,8.900693718E-1
7.031414999E-1,-5.440230440E-1,-7.979054931E-1,8.752825749E-1,1.303354838E0
7.131734999E-1,-1.116814608E0,-2.247301322E-1,9.008039171E-1,1.452317527E0
7.232054999E-1,-1.808717171E0,5.491441816E-2,-1.547746289E-1,1.816157643E0
7.332375000E-1,2.345789447E-1,-1.807695955E-2,-1.060027692E0,1.085823543E0
7.432695000E-1,1.336730216E0,2.507195440E-1,-1.134703068E0,1.771230932E0
7.533005000E-1,5.573068581E-1,2.287734818E-1,-1.654645085E0,1.760902779E0
7.633324999E-1,2.439007038E-1,2.106134918E-1,-1.395763705E0,1.432481036E0
7.733644999E-1,1.566766185E-1,1.456716835E-2,-1.519615334E-1,2.187511664E-1
7.833964999E-1,9.630669331E-2,-2.486604470E-1,6.348111534E-1,6.885435335E-1
7.934285000E-1,3.803839265E-1,-2.126030070E-1,9.610776007E-1,1.055254531E0
8.034605000E-1,6.165229632E-1,-1.111965001E-2,9.760330242E-1,1.154497586E0
8.134925000E-1,5.216552514E-1,5.526846707E-2,8.650136948E-1,1.011645935E0
