"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.591499998E-3,1.432018197E-1,-3.963558519E-1,-2.028983831E-2,4.219198976E-1
1.657950000E-2,1.391032138E-1,-4.099529672E-1,-9.505233765E-3,4.330144211E-1
2.656750000E-2,2.296795079E-1,-6.268513387E-1,-1.045171087E0,1.240192678E0
3.655550000E-2,1.975867724E-1,-6.321424842E-1,-1.060498978E0,1.250321053E0
4.654350000E-2,1.688196409E-1,-4.424512070E-1,-1.004406053E0,1.110447956E0
5.653150000E-2,-2.030357927E-1,-5.109127468E-1,-7.910972875E-1,9.633744268E-1
6.651950000E-2,-2.648738989E-1,-5.094275540E-1,-8.303011143E-1,1.009492227E0
7.650750000E-2,-2.048975462E-1,-6.010066456E-1,-5.487892556E-1,8.392625570E-1
8.649550000E-2,-1.789031643E-1,-5.121617121E-1,-3.379784203E-1,6.391755424E-1
9.648350000E-2,-5.335689533E-1,-3.477467787E-1,3.167343163E-1,7.112976010E-1
1.064715000E-1,-3.943625361E-2,-3.123863268E-1,3.129616928E-1,4.439430779E-1
1.164595000E-1,-7.155033141E-2,-1.293830949E-1,-9.341862559E-2,1.748898933E-1
1.264475000E-1,-5.748807013E-2,-3.060994005E-1,-1.691207725E-1,3.544059211E-1
1.364355000E-1,-1.978098437E-1,-2.702448589E-1,-2.676995659E-1,4.287470998E-1
1.464235000E-1,4.344001758E-1,-1.488732680E0,-8.416827196E-1,1.764499449E0
1.564115000E-1,1.801199698E-1,-7.282280248E-1,3.863378173E-1,8.438105053E-1
1.663995000E-1,6.037907973E-1,-7.699730515E-2,1.208331792E0,1.352981017E0
1.763875000E-1,1.040392157E0,-8.962553680E-2,8.641857290E-1,1.355457691E0
1.863755000E-1,8.963538936E-1,8.445718288E-3,7.419648886E-1,1.163629464E0
1.963635000E-1,3.135496303E-2,-6.964314508E-1,1.045803756E0,1.256863316E0
2.063515000E-1,-1.984482135E-1,-1.130026465E0,9.243535781E-1,1.473353672E0
2.163395000E-1,-4.013702779E-1,-1.282490859E0,3.916886044E-1,1.399750287E0
