"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.682499999E-3,-4.061636791E-1,9.693098956E-1,-1.440052271E0,1.782773444E0
1.366950000E-2,-5.011569598E-1,1.488911605E0,-6.394690454E-1,1.696153509E0
2.365750000E-2,-7.798995772E-1,1.618884099E0,2.406655490E-2,1.797111092E0
3.364550000E-2,-7.915425530E-1,1.636598239E0,1.800942421E-4,1.817964092E0
4.363250000E-2,-3.655600289E-1,7.882953018E-1,2.851137435E-1,9.145126922E-1
5.362050000E-2,1.713839373E-1,-4.177613389E-1,1.106421840E-1,4.649071769E-1
6.360750000E-2,6.860348091E-1,-1.265152110E0,4.752172494E-1,1.515613756E0
7.359550000E-2,1.113672388E-1,-1.142537752E0,1.573393346E0,1.947655462E0
8.358250000E-2,-2.160990572E-1,-1.735785728E0,1.970688846E0,2.635007670E0
9.357050000E-2,1.324031526E0,-1.818306313E0,9.784239507E-1,2.452878055E0
1.035585000E-1,1.302307073E0,-1.784507067E0,9.353288019E-1,2.399022541E0
1.135455000E-1,1.348743028E0,-1.589489561E0,1.449238247E-1,2.089638183E0
1.235335000E-1,5.894876307E-1,-2.163490257E0,-6.318869609E-1,2.329692445E0
1.335205000E-1,1.422917590E0,-1.456251982E0,-7.555397844E-1,2.171682451E0
1.435085000E-1,1.440278266E0,-1.273841073E0,-8.993111229E-1,2.122694763E0
1.534955000E-1,6.024234259E-1,1.594073778E-1,-5.163904184E-1,8.093106699E-1
1.634835000E-1,-1.565344361E0,1.090217451E0,-8.397163010E-1,2.084226602E0
1.734715000E-1,-4.043063110E-1,2.158939369E0,1.384340000E-1,2.200828654E0
1.834585000E-1,2.030164677E0,1.599556713E0,8.907151312E-1,2.733774631E0
1.934465000E-1,-6.643547952E-1,7.294231957E-1,5.158477968E-1,1.113339320E0
2.034335000E-1,7.525445482E-1,4.251077807E-1,1.788266827E0,1.986186841E0
2.134215000E-1,1.160739842E0,-7.727937484E-1,1.835134599E0,2.304831047E0
2.234085000E-1,9.623903006E-2,-1.982399064E0,7.338115311E-1,2.116045218E0
2.333965000E-1,9.318804064E-1,-7.423484659E-1,-8.078951687E-1,1.439505797E0
2.433835000E-1,2.022163347E0,1.834914744E-2,-2.941419030E0,3.569513580E0
2.533715000E-1,2.105108001E0,-8.237130564E-1,-3.007303702E0,3.762161407E0
2.633595000E-1,5.814690515E-1,-1.498387018E0,-1.631360303E0,2.290110555E0
2.733465000E-1,1.109166669E0,-1.411702631E0,-1.231065182E0,2.176850133E0
2.833345000E-1,1.714129980E0,-1.013144132E0,-6.588011098E-1,2.097312929E0
2.933215000E-1,1.938812603E0,-1.012673432E-1,1.701457894E0,2.581512803E0
3.033095000E-1,1.036981477E0,-5.009321344E-1,2.499618033E0,2.752154410E0
3.132965000E-1,8.217533621E-1,-4.334406477E-1,2.444640757E0,2.615228062E0
3.232845000E-1,-1.354856292E0,-1.262245460E0,1.435584998E-1,1.857285174E0
3.332725000E-1,-4.016192815E0,-2.781294199E0,-1.889562821E-1,4.888875804E0
3.432595000E-1,-4.054955470E0,-2.771395447E0,-1.958372855E-1,4.915450013E0
3.532475000E-1,-3.212773398E0,-2.338570511E0,1.789765468E0,4.358220437E0
3.632345000E-1,2.894364439E-2,-9.892927551E-1,-7.338729268E-1,1.232114996E0
3.732225000E-1,2.988974727E0,7.047075999E-1,-1.360625448E0,3.358851638E0
3.832095000E-1,2.830854029E0,1.259358689E0,-1.220006343E0,3.329885031E0
3.931975000E-1,3.638737503E0,1.065293110E0,-2.514323781E0,4.549404807E0
4.031855000E-1,6.098360581E0,1.330252963E0,-1.552687186E0,6.431983537E0
4.131725000E-1,4.079018809E0,6.393164331E-1,2.598690916E0,4.878556592E0
4.231605000E-1,4.322410914E0,1.293437431E0,-5.897642040E-1,4.550169043E0
4.331475000E-1,4.108565959E0,9.699144977E-1,-2.620559503E0,4.968740331E0
4.431355000E-1,2.848352991E0,6.059107053E-1,-3.999813595E0,4.947600564E0
4.531225000E-1,1.370522737E0,5.293241671E-1,-4.026751133E0,4.286401910E0
4.631105000E-1,-2.441651076E-1,3.999200222E-1,-1.944926598E0,2.000572942E0
4.730985000E-1,-1.118271223E-1,5.975819314E-1,-2.188525695E0,2.271399170E0
4.830855000E-1,7.628102124E-2,-7.600854099E-2,-3.048431847E0,3.050333231E0
4.930735000E-1,3.665772982E-1,-1.607472088E0,-3.078970685E0,3.492621638E0
5.030605000E-1,-2.514552699E-1,-3.185590277E0,-2.917569991E0,4.327057871E0
5.130485000E-1,-1.793200269E0,-3.904691675E0,-3.225241708E0,5.372556967E0
5.230355000E-1,-2.922837163E0,-3.695159918E0,-3.580978707E0,5.917819903E0
5.330235000E-1,-1.971467695E0,-4.313617579E0,-4.670141321E0,6.656140131E0
5.430105000E-1,-1.038924799E0,-6.266478556E0,-4.372302867E0,7.711365028E0
5.529985000E-1,-1.405911548E0,-6.575659440E0,-1.670260659E0,6.928611334E0
5.629865000E-1,-2.242998064E0,-6.214524291E0,3.746194124E-2,6.607023224E0
5.729735000E-1,-2.519628082E0,-6.167289898E0,-3.994864511E-1,6.674097676E0
5.829615000E-1,-2.847781134E0,-6.228426046E0,-2.287222018E0,7.220424708E0
5.929485000E-1,-3.353802685E0,-6.146229397E0,-2.980695947E0,7.609775067E0
6.029365000E-1,-3.665847534E0,-5.348893715E0,-3.202163917E0,7.232078254E0
6.129235000E-1,-4.428473267E0,-5.167646402E0,-3.689077352E0,7.741139226E0
6.229115000E-1,-4.540168242E0,-5.601468288E0,-4.935609589E0,8.737838215E0
6.328995000E-1,-3.986092811E0,-5.147154835E0,-6.069683497E0,8.900741348E0
6.428865000E-1,-3.762451723E0,-4.419556848E0,-5.643220916E0,8.095336188E0
6.528745000E-1,-3.074253151E0,-3.486639730E0,-3.837504244E0,6.027779680E0
6.628615000E-1,-2.336011770E0,-2.943502100E0,-7.326765865E-1,3.828572917E0
6.728495000E-1,-3.103731304E0,-3.373095865E0,2.577809340E0,5.258899573E0
6.828365000E-1,-4.262468183E0,-4.879850541E0,4.040230134E0,7.635773428E0
6.928245000E-1,-3.071791474E0,-6.363736464E0,3.980018431E0,8.110091945E0
7.028125000E-1,1.883095801E-2,-6.859914812E0,3.673234321E0,7.781480335E0
7.127995000E-1,2.077150855E0,-5.696553955E0,4.036314254E0,7.284031534E0
7.227875000E-1,2.562770886E0,-4.519507105E0,3.546864297E0,6.290785756E0
7.327745000E-1,3.076373352E0,-3.599930410E0,3.199363686E0,5.714849075E0
7.427625000E-1,5.153606068E0,-1.612241955E0,2.922193385E0,6.139885488E0
7.527495000E-1,5.280649107E0,-1.636796898E0,3.546290685E0,6.568145606E0
7.627375000E-1,6.497340079E0,-1.957178561E0,4.149123416E0,7.953691039E0
7.727255000E-1,6.448227561E0,-1.509157735E0,4.299773419E0,7.895900658E0
7.827125000E-1,8.787033130E0,-1.563298421E0,4.248645950E0,9.884677313E0
7.927005000E-1,9.968575319E0,-5.769393598E-1,3.806304671E0,1.068612690E1
8.026875000E-1,1.164647478E1,8.323300982E-1,3.552840151E0,1.220474585E1
8.126755000E-1,1.218104946E1,1.763511178E0,2.587716862E0,1.257713068E1
8.226625000E-1,1.101072106E1,1.868050038E0,2.565179354E0,1.145887142E1
8.326505000E-1,1.221286883E1,2.784487363E0,2.994960229E0,1.287933701E1
8.426375000E-1,1.431339101E1,4.220723741E0,2.760371692E0,1.517587964E1
8.526255000E-1,1.214590418E1,2.706782252E0,3.794369334E0,1.300949258E1
8.626135000E-1,8.683405266E0,1.765218272E0,1.693050182E0,9.021304866E0
8.726005000E-1,8.235682209E0,2.196672913E0,5.642738521E-2,8.523791257E0
8.825885000E-1,7.933478808E0,1.890500715E0,-3.408575892E-1,8.162736236E0
8.925755000E-1,7.365527642E0,2.159600689E0,-2.784993732E-1,7.680653259E0
9.025635000E-1,5.692194271E0,2.588726091E0,6.041167796E-1,6.282319276E0
9.125505000E-1,4.426030592E0,2.598014393E0,1.421142960E0,5.325323737E0
9.225385000E-1,4.267927144E0,2.230580624E0,1.277228950E0,4.982168786E0
9.325265000E-1,3.436488746E0,1.998521007E0,5.151163101E-2,3.975700512E0
9.425135000E-1,2.886356385E0,3.244346608E0,-1.724202393E0,4.672227733E0
9.525015000E-1,2.153198572E0,3.339312992E0,-2.290674798E0,4.586334744E0
9.624888333E-1,1.948632563E0,3.422469169E0,-2.190688580E0,4.506615197E0
9.724768333E-1,1.122070159E0,3.771038944E0,-2.137953127E0,4.477791836E0
9.824638333E-1,4.765667868E-1,4.621460327E0,-2.017421547E0,5.065076619E0
9.924518333E-1,7.584440964E-1,6.211783701E0,-2.651964313E0,6.796646888E0
1.002439833E0,1.770593033E0,6.739171563E0,-3.234182686E0,7.681885881E0
1.012426833E0,2.634658309E0,5.234722736E0,-3.249648571E0,6.701041887E0
1.022414833E0,1.523738791E0,2.118767243E0,-1.370708971E0,2.947846267E0
1.032401833E0,4.931231779E-1,-4.778689617E-1,8.493893498E-1,1.092241494E0
1.042389833E0,5.132411081E-1,-1.736334489E0,3.597394765E0,4.027346892E0
1.052376833E0,8.291252393E-1,-1.435658088E0,3.814401895E0,4.159113442E0
1.062364833E0,8.448010397E-1,1.507339105E-1,2.259248353E0,2.416735945E0
1.072351833E0,7.300950408E-1,1.637987245E0,-5.292221332E-1,1.869790643E0
1.082339833E0,1.045539461E0,2.198621498E0,-2.517323987E0,3.502000758E0
1.092327833E0,7.827720219E-1,2.081625729E0,-2.887146344E0,3.644380842E0
1.102314833E0,-2.362321901E-1,1.793158607E0,-2.688205648E0,3.240011273E0
1.112302833E0,-2.401106483E-1,1.843855137E0,-2.630726934E0,3.221518134E0
1.122289833E0,-1.944323750E0,4.973665023E-1,-1.817062610E0,2.707302128E0
1.132277833E0,-2.198029760E0,-2.661453760E-1,-1.867565596E0,2.896544396E0
1.142264833E0,-2.058159683E0,-2.061301392E-1,-1.818273568E0,2.754020640E0
1.152252833E0,-1.285784011E0,5.940648311E-1,-1.840730385E0,2.322593786E0
1.162240833E0,1.546003819E-2,2.067367879E0,-2.172431526E0,2.998951099E0
1.172227833E0,1.097037644E0,3.508491359E0,-2.486388415E0,4.437919621E0
