"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.061916665E-3,9.523513623E-2,4.017838222E-1,4.946528095E-1,6.443456936E-1
1.304991667E-2,3.933991342E-1,5.981725001E-1,5.204606652E-1,8.851285346E-1
2.303791667E-2,6.621014976E-1,7.402329433E-1,5.535471350E-1,1.136986207E0
3.302591667E-2,7.344390835E-1,9.024311972E-1,5.077979350E-1,1.269504461E0
4.301291667E-2,5.253900873E-1,9.215849215E-1,4.097132313E-1,1.137197627E0
5.300091667E-2,8.767033752E-1,7.654666024E-1,-1.860700965E-1,1.178630565E0
6.298891667E-2,1.069430161E0,9.602560669E-1,-4.723012429E-1,1.512891618E0
7.297691666E-2,1.268477422E0,1.361015457E0,-8.014269787E-1,2.025754982E0
8.296533333E-2,1.418230754E0,1.687465507E0,-8.866179872E-1,2.375922929E0
9.295333333E-2,1.381877591E0,1.716030909E0,-6.725221860E-1,2.303613216E0
1.029413333E-1,1.223597118E0,1.575807661E0,-3.014742529E-1,2.017732990E0
1.129293333E-1,1.025392149E0,1.392827234E0,2.571418333E-1,1.748576188E0
1.229173333E-1,8.884447304E-1,1.256323400E0,1.026098639E0,1.849475855E0
1.329053333E-1,9.929536968E-1,1.157377401E0,1.633161246E0,2.234433966E0
1.428933333E-1,1.263681536E0,1.112228710E0,2.130066987E0,2.714982338E0
1.528813333E-1,1.436937021E0,1.151664087E0,2.382747980E0,3.011412643E0
1.628693333E-1,1.467744684E0,1.193167039E0,2.284836938E0,2.966210019E0
1.728573333E-1,1.417491374E0,1.173649617E0,2.084794335E0,2.780845670E0
1.828443333E-1,1.341080252E0,1.298517492E0,1.811960329E0,2.601508054E0
1.928323333E-1,1.418436576E0,1.521975855E0,1.779530502E0,2.737718326E0
2.028203333E-1,1.415518523E0,1.494963473E0,1.868289481E0,2.780128426E0
2.128083333E-1,1.307086879E0,1.405277125E0,1.778998405E0,2.616890375E0
2.227963333E-1,1.135290055E0,1.481021957E0,1.881075588E0,2.649670718E0
2.327843333E-1,8.347422208E-1,1.601693285E0,1.950474436E0,2.658301428E0
2.427723333E-1,1.024370056E0,1.714027069E0,2.220286601E0,2.986117110E0
2.527603333E-1,1.453470169E0,1.543571962E0,2.723828348E0,3.451728669E0
2.627483333E-1,1.753386431E0,1.390049222E0,2.927036049E0,3.684310091E0
2.727363333E-1,1.784271424E0,1.734830292E0,3.146929072E0,4.012034801E0
2.827243333E-1,1.764364286E0,2.336802898E0,3.456630357E0,4.530112862E0
2.927123333E-1,1.896456396E0,3.136637680E0,4.247637305E0,5.610478186E0
3.027003333E-1,2.524841167E0,3.487147268E0,5.725472530E0,7.163522505E0
3.126873333E-1,3.460271711E0,3.272424645E0,7.189252802E0,8.623665069E0
3.226753333E-1,4.381194143E0,3.014307497E0,8.290458341E0,9.849498023E0
3.326633333E-1,4.366518508E0,2.555425029E0,8.656016323E0,1.002613084E1
3.426513333E-1,3.696037293E0,2.103673825E0,8.897795767E0,9.861891540E0
3.526393333E-1,2.683906483E0,1.298092985E0,8.476838340E0,8.985832607E0
3.626273333E-1,1.703161042E0,-6.990287840E-2,7.999916042E0,8.179504913E0
3.726153333E-1,1.413500211E0,-1.415581089E0,7.755926936E0,8.009760002E0
3.826033333E-1,1.024168107E0,-2.252125275E0,7.407639289E0,7.809872496E0
3.925913333E-1,4.321257551E-1,-2.753735687E0,6.796968366E0,7.346330504E0
4.025793333E-1,1.981777432E-1,-3.422707443E0,5.677005544E0,6.631937319E0
4.125673333E-1,1.662010384E-1,-4.245724096E0,4.165955796E0,5.950544814E0
4.225553333E-1,-1.393045773E-1,-4.891402300E0,2.850572594E0,5.663125139E0
4.325433333E-1,-9.077414192E-1,-5.279718815E0,2.220077856E0,5.798980163E0
4.425313333E-1,-1.864241600E0,-5.828648989E0,1.484578672E0,6.297024663E0
4.525183333E-1,-2.404851040E0,-6.386422491E0,6.645512617E-1,6.856480813E0
4.625063333E-1,-2.807476276E0,-6.459536076E0,-3.602615744E-2,7.043353409E0
4.724943333E-1,-3.262328843E0,-6.481681820E0,-1.257822918E0,7.364584658E0
4.824823333E-1,-3.009352566E0,-6.139254254E0,-2.233637549E0,7.192759022E0
4.924703333E-1,-2.418093521E0,-5.706577252E0,-2.077840534E0,6.536789847E0
