"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.549083333E-3,-1.136683520E0,-1.320108336E-1,-1.317512172E-1,1.151883097E0
1.553708333E-2,-7.963603663E-1,-2.522167236E-2,4.191792887E-1,9.002984183E-1
2.552508333E-2,-2.701574430E-1,1.275803983E-1,8.666941845E-1,9.167445727E-1
3.551308333E-2,-3.061648893E-1,1.246813488E-1,8.498577118E-1,9.118884298E-1
4.550108333E-2,5.830147630E-1,2.190782136E-1,1.030421485E0,1.204022390E0
5.548908333E-2,7.518782580E-1,2.937304929E-1,7.056782377E-1,1.072184822E0
6.547708333E-2,6.665723518E-1,3.503344640E-1,5.371673298E-1,9.249873929E-1
7.546508333E-2,3.612015143E-1,1.365649375E-1,3.955840194E-1,5.528139221E-1
8.545208333E-2,-1.696715802E-2,1.760830522E-2,1.444461071E-1,1.465012448E-1
9.544008333E-2,-3.720916611E-1,1.185373870E-1,-1.614018631E-1,4.225563605E-1
1.054280833E-1,-5.006081986E-1,-1.750100881E-2,-4.676158690E-1,6.852586773E-1
1.154160833E-1,-4.371647394E-1,-7.280660570E-2,-7.397511327E-1,8.623488561E-1
1.254040833E-1,-2.549850878E-1,1.612056890E-1,-7.221428275E-1,7.826205546E-1
1.353920833E-1,-4.850879341E-2,2.208469963E-1,-4.708856320E-1,5.223598159E-1
1.453800833E-1,1.775805241E-1,6.936318040E-2,-2.908931315E-1,3.478000967E-1
1.553680833E-1,3.368694958E-1,-6.056984514E-2,-1.570369166E-1,3.765771588E-1
1.653560833E-1,4.114013225E-1,-3.582092017E-2,6.913630843E-2,4.187051655E-1
1.753440833E-1,6.053104886E-1,1.753346086E-1,2.034643936E-1,6.622241102E-1
1.853323750E-1,8.416464669E-1,3.260065386E-1,2.915164447E-1,9.484887326E-1
1.953203750E-1,8.968362889E-1,5.997854546E-1,3.213395834E-2,1.079393585E0
2.053083750E-1,7.111032844E-1,7.363401595E-1,-3.293233716E-1,1.075322554E0
2.152963750E-1,5.125242394E-1,7.315027580E-1,-3.681231558E-1,9.660704109E-1
2.252843750E-1,5.119822025E-1,5.254565263E-1,-8.771969533E-1,1.143549226E0
2.352723750E-1,7.328891328E-1,2.157692742E-1,-1.385638082E0,1.582300779E0
2.452603750E-1,8.305920133E-1,2.339666864E-1,-1.258752918E0,1.526133156E0
2.552483750E-1,7.748312107E-1,1.528424165E-1,-1.155830812E0,1.399881808E0
2.652363750E-1,1.035838638E0,1.876997155E-1,-1.229036198E0,1.618246843E0
2.752243750E-1,1.590317235E0,1.493709245E-1,-1.355710863E0,2.095082940E0
2.852123750E-1,1.905484205E0,2.159835747E-1,-1.492543895E0,2.430063011E0
2.952003750E-1,2.000647055E0,4.792658615E-1,-1.369516724E0,2.471408599E0
3.051883750E-1,1.138708411E0,5.417395601E-1,-7.760904086E-1,1.480694066E0
3.151763750E-1,3.599809080E-2,3.684696034E-1,4.501133984E-1,5.828102458E-1
3.251643750E-1,2.881583887E-1,1.384693757E-1,9.299400079E-1,9.833602816E-1
3.351523750E-1,1.496495444E-1,2.139130756E-1,8.612825865E-1,8.999786018E-1
3.451403750E-1,3.408189976E-1,3.108362299E-1,5.725751442E-1,7.352680101E-1
3.551283750E-1,-2.866356276E-1,7.176015875E-1,-2.392458451E-1,8.089194000E-1
3.651163750E-1,-1.134455146E0,6.733750024E-1,-1.210794640E0,1.790655196E0
3.751033750E-1,-1.524680339E0,1.869293448E-1,-7.455819762E-1,1.707479194E0
3.850913750E-1,-8.168721065E-1,6.614469749E-1,1.397431331E0,1.748601288E0
3.950793750E-1,1.091008214E-1,1.385601245E0,3.268732129E0,3.551957704E0
4.050673750E-1,9.886683456E-1,1.068264957E0,3.824911680E0,4.092505892E0
4.150553750E-1,1.435493051E0,6.043293259E-1,3.667235078E0,3.984277519E0
4.250433750E-1,1.522806745E0,1.047230184E0,3.989870405E0,4.397123751E0
4.350313750E-1,8.830440228E-1,1.368295240E0,3.446678689E0,3.812032606E0
4.450193750E-1,1.598779325E0,1.571298289E0,3.629743901E0,4.266159213E0
4.550073750E-1,1.840658756E0,1.965079904E0,3.233548263E0,4.207778280E0
4.649953750E-1,1.174057315E0,1.266632041E0,2.931219732E0,3.402178187E0
4.749833750E-1,1.106144463E0,6.614636394E-1,2.080282624E0,2.447175007E0
4.849713750E-1,1.758259209E0,3.447281536E-1,2.157047794E0,2.804134114E0
4.949593750E-1,3.991806418E0,-1.622959024E-1,2.607632478E0,4.770807644E0
5.049473750E-1,5.234254375E0,-9.426120937E-1,3.774225676E0,6.521557779E0
5.149353750E-1,4.649624903E0,-1.442760847E0,4.825483130E0,6.854623114E0
5.249233750E-1,3.886933389E0,-2.045754231E0,4.869415015E0,6.557786527E0
5.349113750E-1,3.305679223E0,-2.529462807E0,4.364069402E0,6.030820753E0
5.448993750E-1,2.972304315E0,-2.370303497E0,3.953610651E0,5.484885485E0
5.548873750E-1,2.410538919E0,-1.137357412E0,4.087865061E0,4.880053332E0
5.648753750E-1,1.473002647E0,-4.628568202E-2,4.316212866E0,4.560874112E0
5.748633750E-1,1.128368195E0,-2.060851157E-3,4.081516739E0,4.234618982E0
5.848513750E-1,1.000633722E0,-8.574248859E-1,4.061534464E0,4.269954038E0
5.948393750E-1,1.244684224E0,-2.031715943E0,4.066079505E0,4.712760447E0
6.048273750E-1,2.097226978E0,-2.326389299E0,3.869973832E0,4.978669062E0
6.148153750E-1,2.146126950E0,-2.795996438E0,3.776462821E0,5.165765035E0
6.248033750E-1,1.634078966E0,-3.012535790E0,3.239275610E0,4.715770609E0
6.347913750E-1,1.442339702E0,-2.671546639E0,2.577927454E0,3.982865201E0
6.447783750E-1,1.276183760E0,-2.441241771E0,1.340357244E0,3.063472526E0
6.547663750E-1,7.578156669E-1,-2.463357110E0,3.267897731E-1,2.597923092E0
6.647543750E-1,5.217219096E-1,-1.959428278E0,-2.112259877E-1,2.038668522E0
6.747423750E-1,7.490224779E-2,-8.911256057E-1,-8.855994022E-1,1.258571211E0
6.847303750E-1,-1.139734159E-1,-6.434626937E-2,-2.264575751E0,2.268354848E0
6.947183750E-1,2.301687006E-1,4.970256096E-1,-2.418420088E0,2.479670908E0
7.047063750E-1,6.805797954E-1,3.777798325E-1,-1.594218789E0,1.774102592E0
7.146943750E-1,1.108009140E0,8.317664266E-3,-3.522234070E-1,1.162675693E0
7.246823750E-1,1.622652630E0,-2.055226135E-1,1.542732301E0,2.248391437E0
7.346703750E-1,1.773512109E0,-5.614782983E-1,3.803590978E0,4.234135969E0
7.446583750E-1,1.012459424E0,-1.022515465E0,3.182221404E0,3.492441127E0
7.546463750E-1,6.432912972E-1,-1.248706816E0,2.333966998E0,2.724058435E0
7.646343750E-1,6.592162621E-1,-1.338698389E0,1.798234575E0,2.336734269E0
7.746223750E-1,9.689182053E-1,-1.416922440E0,1.886734523E0,2.550733003E0
7.846103750E-1,1.477752340E0,-1.470811549E0,2.574992736E0,3.313250093E0
7.945983750E-1,1.405858485E0,-1.477450477E0,3.106768933E0,3.716357248E0
8.045863750E-1,8.611033693E-1,-1.490489184E0,2.674071466E0,3.180206790E0
8.145743750E-1,1.309857436E-1,-1.657697917E0,1.350049296E0,2.141904001E0
8.245623750E-1,-9.014875297E-1,-1.660342028E0,2.919321817E-1,1.911711226E0
8.345503750E-1,-1.123937832E0,-1.811448113E0,-9.490323365E-3,2.131823301E0
8.445383750E-1,-8.022072896E-2,-2.374885814E0,-6.941405118E-2,2.377253942E0
8.545263750E-1,1.228304127E-1,-2.413247641E0,2.047653991E-1,2.425032032E0
8.645143750E-1,-7.990341519E-1,-1.704623576E0,-1.005048662E-2,1.882630640E0
8.745023750E-1,-8.747303054E-1,-1.810661078E0,-3.907600665E-1,2.048497029E0
8.844903750E-1,-1.180891686E0,-1.943087064E0,-8.515253377E-1,2.428000806E0
8.944773750E-1,-7.445952585E-1,-2.562984894E0,-8.754923438E-1,2.808878871E0
9.044653750E-1,4.312491113E-1,-4.151023176E0,-5.792035478E-1,4.213365158E0
9.144533750E-1,3.979588661E-1,-5.232331225E0,-1.835189563E-1,5.250651437E0
9.244413750E-1,-3.147199506E-1,-5.379851798E0,1.320780766E-1,5.390667736E0
9.344293750E-1,-1.189071941E0,-4.762996860E0,3.037008727E-1,4.918563346E0
9.444173750E-1,-2.170827635E0,-4.172295347E0,2.588293397E-1,4.710364499E0
9.544053750E-1,-2.426775759E0,-4.430013716E0,-8.206742585E-2,5.051831071E0
9.643933750E-1,-2.152760324E0,-4.630237582E0,-1.655311668E-1,5.108901804E0
9.743813750E-1,-1.976611783E0,-4.489512058E0,-1.793966875E-1,4.908655196E0
9.843693750E-1,-1.516857203E0,-4.204112386E0,-3.845661110E-1,4.485901004E0
9.943573750E-1,-1.054112649E0,-4.014543316E0,-8.628350222E-1,4.239362663E0
1.004345375E0,-1.005994450E0,-3.926233402E0,-1.778270427E0,4.426011667E0
