"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.763958331E-3,-1.506284121E0,8.029589492E-1,-2.804716390E-1,1.729826369E0
1.275195833E-2,-1.726729560E0,6.429963782E-1,-1.792004952E0,2.570276457E0
2.273995833E-2,-1.800167665E0,2.835294405E-1,-2.543068108E0,3.128607992E0
3.272795833E-2,-1.778271012E0,3.737180641E-1,-2.164122925E0,2.825834570E0
4.271595833E-2,-1.391107129E0,1.042117963E0,-9.956521869E-1,2.003125600E0
5.270395833E-2,-6.336377634E-1,1.860016841E0,5.460767323E-1,2.039450725E0
6.269195833E-2,-1.378087865E-1,1.825679359E0,1.325018828E0,2.260037893E0
7.267895833E-2,-8.078805506E-2,7.433886856E-1,1.256546763E0,1.462211755E0
8.266695833E-2,2.579556195E-1,-5.004997328E-1,1.116956769E0,1.250853112E0
9.265495833E-2,7.348225877E-1,-8.622611180E-1,9.461040509E-1,1.475998423E0
1.026429583E-1,1.343125754E0,-8.117476067E-1,3.828961462E-1,1.615404107E0
1.126309583E-1,2.025844169E0,-8.893427896E-1,-7.784456670E-2,2.213828126E0
1.226189583E-1,9.871248268E-1,-1.386377024E0,1.539525104E-1,1.708846995E0
1.326069583E-1,-4.933057572E-1,-1.874006889E0,-4.112288296E-1,1.981000136E0
1.425949583E-1,-4.113272090E-1,-1.301746617E0,-8.969272131E-1,1.633466484E0
1.525819583E-1,-1.955604929E-2,-1.158987213E-1,8.021561265E-2,1.423007279E-1
1.625699583E-1,7.985531453E-1,5.748703225E-1,1.364340184E0,1.682137673E0
1.725579583E-1,7.126484111E-1,6.546794075E-1,2.501744666E0,2.682386858E0
1.825459583E-1,3.385203475E-2,1.091392669E0,2.805339704E0,3.010351270E0
1.925339583E-1,-6.174835876E-1,1.142976440E0,2.628411144E0,2.931932173E0
2.025219583E-1,-7.353878673E-3,5.907085659E-1,4.200204107E0,4.241545147E0
2.125099583E-1,6.077560866E-1,5.263683265E-1,2.551757655E0,2.675424865E0
2.224969583E-1,3.103807684E-1,-6.092987648E-1,6.878313661E-1,9.698933933E-1
2.324849583E-1,-8.761926575E-2,-2.327993483E0,-1.267336630E0,2.652050702E0
2.424729583E-1,9.735222298E-1,-2.199324918E0,-1.537283281E0,2.854472896E0
2.524609583E-1,2.571779983E0,-1.828891089E0,-8.068485171E-1,3.257284057E0
2.624489583E-1,2.341279819E0,-1.576032194E0,8.556172192E-2,2.823612841E0
2.724369583E-1,1.146019989E0,-7.682701962E-1,1.349601692E0,1.930032548E0
2.824249583E-1,1.022057482E0,3.066822217E-1,1.521164846E0,1.858116781E0
2.924119583E-1,1.151221452E0,7.236913164E-1,1.125152226E0,1.764938380E0
3.023999583E-1,1.272081938E0,2.735014656E-1,8.485461813E-1,1.553391815E0
3.123879583E-1,4.965342242E-1,-2.459189799E-1,-8.291129601E-1,9.972214805E-1
3.223759583E-1,-2.066384815E-1,-9.936524391E-2,-2.396953205E0,2.407894845E0
3.323639583E-1,-1.418454849E0,-8.689681667E-1,-2.540806990E0,3.036909612E0
3.423519583E-1,-5.102446293E-1,6.172928953E-1,-2.973449492E0,3.079415851E0
3.523399583E-1,7.694261176E-1,2.082857738E0,-3.848611615E0,4.443211031E0
3.623269583E-1,2.057516051E0,2.590452774E0,-2.981432111E0,4.453398176E0
3.723149583E-1,1.877296825E0,1.999354236E0,-1.462566390E0,3.108176503E0
3.823029583E-1,-1.788072992E0,4.220584577E-1,-2.988164595E0,3.507772230E0
3.922909583E-1,-3.585127014E0,-9.875011683E-1,-1.731163504E0,4.101855841E0
4.022789583E-1,-2.949650448E0,-1.424936049E0,-1.625109045E0,3.656755381E0
4.122669583E-1,-1.099360085E0,-1.329777877E0,-1.611278041E0,2.360745374E0
4.222549583E-1,3.943153929E-1,-1.343624668E0,-1.488050895E0,2.043307941E0
4.322419583E-1,8.666680183E-1,-1.010580713E0,-1.593879066E0,2.076737179E0
4.422299583E-1,1.029124427E0,-4.490494975E-1,-1.421942275E0,1.811811902E0
4.522179583E-1,1.138662876E0,5.606573492E-2,-1.655211681E0,2.009831391E0
4.622059583E-1,3.060922560E-1,-3.209185839E-1,-1.232856184E0,1.310196771E0
4.721939583E-1,-7.949349613E-1,-9.133076030E-1,1.766250890E-1,1.223621180E0
4.821819583E-1,4.677110142E-2,-4.303831387E-1,9.293541169E-1,1.025239609E0
4.921699583E-1,2.520268718E-1,-1.170141288E0,-7.011624330E-1,1.387219138E0
5.021579583E-1,1.525060645E-1,-1.125490195E0,-1.423802859E0,1.821318440E0
5.121449583E-1,1.289200411E-1,-4.833230983E-1,-1.124161123E0,1.230430748E0
5.221329583E-1,-3.466143558E-1,-2.614949392E-1,-2.715552199E-1,5.121165417E-1
5.321209583E-1,-6.150980698E-1,-7.848243946E-1,1.287943388E0,1.628831832E0
5.421089583E-1,-3.698068616E-1,-1.022518973E0,2.878798274E0,3.077301036E0
5.520969583E-1,1.071234466E0,6.214099199E-2,4.086717253E0,4.225241140E0
5.620849583E-1,2.124916614E0,1.007810449E0,4.585640869E0,5.153547777E0
5.720729583E-1,2.255602322E0,1.620926239E0,5.013257689E0,5.731308434E0
5.820599583E-1,1.345362899E0,2.170309280E0,4.354962364E0,5.048360218E0
5.920479583E-1,1.597367954E-3,1.566267929E0,3.429629962E0,3.770352696E0
6.020359583E-1,3.305887091E-1,4.323890260E-1,5.103940988E0,5.132880553E0
6.120239583E-1,2.947147620E-1,-9.932299778E-1,7.945038169E0,8.012302671E0
6.220119583E-1,-1.145931915E0,-1.310897948E0,9.458717410E0,9.617637362E0
6.319999583E-1,-1.211233327E0,-3.983234400E-1,9.586790144E0,9.671209490E0
6.419883750E-1,-1.601601484E0,1.483685656E-1,6.926340936E0,7.110649710E0
6.519753750E-1,-1.721351291E0,1.140813993E0,2.568615763E0,3.295799413E0
6.619633750E-1,-1.155328683E0,2.283624664E0,-7.123656982E-1,2.656537382E0
6.719513750E-1,-2.016812852E-1,2.660435175E0,-1.758517363E0,3.195461465E0
6.819393750E-1,8.266998873E-1,1.965165712E0,-5.718155909E-1,2.207324636E0
6.919273750E-1,1.839252208E0,9.017007338E-1,9.267456740E-1,2.248281665E0
7.019153750E-1,1.908561010E0,-1.931499052E-1,2.972711574E0,3.537926810E0
7.119033750E-1,1.448099355E0,-1.248768651E0,4.063116136E0,4.490582103E0
7.218903750E-1,6.323697947E-1,-1.499079474E0,3.631963504E0,3.979734881E0
7.318783750E-1,3.719772018E-2,-1.154966155E0,1.706553158E0,2.060983787E0
7.418663750E-1,-1.072248885E-1,-8.318539886E-1,-8.619269496E-1,1.202662173E0
7.518543750E-1,-5.080313485E-1,-6.860720851E-1,-3.501853015E0,3.604409147E0
7.618423750E-1,-9.091835618E-1,-6.487161246E-1,-5.353183233E0,5.468456645E0
7.718303750E-1,-1.533614884E0,-9.445333426E-1,-5.669183723E0,5.948425164E0
7.818183750E-1,-1.510290195E0,-1.408610623E0,-5.277589844E0,5.667284616E0
7.918053750E-1,-1.222830475E0,-1.198614305E0,-5.091018056E0,5.371262000E0
8.017933750E-1,-1.338554840E0,-9.619020581E-1,-4.245059853E0,4.553846482E0
8.117813750E-1,-8.942676801E-1,-8.112092974E-1,-3.922157308E0,4.103790097E0
8.217693750E-1,-9.229110700E-1,-7.688357681E-2,-4.594919815E0,4.687319494E0
8.317573750E-1,-1.687452351E0,8.744462769E-1,-5.616699700E0,5.929541909E0
8.417453750E-1,-2.131731251E0,9.892228809E-1,-6.674365702E0,7.076015656E0
8.517333750E-1,-2.547462291E0,9.137264098E-1,-7.163448454E0,7.657640226E0
8.617203750E-1,-1.673545918E0,8.005344012E-1,-7.105444075E0,7.343633077E0
8.717083750E-1,2.686206485E-1,4.922449261E-1,-7.218153834E0,7.239903791E0
8.816963750E-1,1.253193093E0,1.164913000E-1,-7.407433468E0,7.513596591E0
8.916843750E-1,8.606743298E-1,-1.677792750E-1,-7.477681916E0,7.528920044E0
9.016723750E-1,-2.692306593E-1,-5.452739096E-1,-7.639222943E0,7.663389326E0
9.116603750E-1,-9.967361145E-1,-8.709253760E-1,-7.892283420E0,8.002507824E0
9.216483750E-1,-1.026901900E0,-7.182360104E-1,-7.930179225E0,8.028582254E0
9.316363750E-1,-8.104125412E-1,-2.531354673E-1,-7.710979974E0,7.757580693E0
9.416233750E-1,-2.766197126E-1,-2.477412647E-1,-7.688780435E0,7.697742447E0
9.516113750E-1,1.928419031E-2,2.547851130E-2,-7.316149076E0,7.316218855E0
9.615993750E-1,-1.480465302E-1,4.676731718E-1,-6.786446886E0,6.804152946E0
9.715873750E-1,-3.466739608E-1,2.666726486E-1,-6.243071567E0,6.258373569E0
9.815753750E-1,-5.285339159E-1,9.662377685E-3,-5.509731322E0,5.535032132E0
9.915633750E-1,-8.785915142E-1,-3.463582112E-1,-4.568081680E0,4.664681907E0
1.001550375E0,-1.075654961E0,-8.278536160E-1,-4.225930102E0,4.438565132E0
1.011538375E0,-1.396190114E0,-1.345111323E0,-3.810529284E0,4.275371882E0
1.021526375E0,-1.584032793E0,-2.508963346E0,-2.885617881E0,4.138942802E0
1.031514375E0,-2.238357129E0,-3.538980204E0,-1.820151694E0,4.565914553E0
1.041502375E0,-2.790286339E0,-2.844248831E0,7.030101532E-1,4.045945197E0
1.051490375E0,-2.397999126E0,-8.501184976E-1,4.149052665E0,4.867005166E0
1.061478375E0,-1.178612880E0,1.035983064E0,6.960938326E0,7.135618516E0
1.071466375E0,4.081296591E-1,2.761260176E0,9.369489484E0,9.776423721E0
1.081453375E0,2.401228397E0,4.302999620E0,1.131488854E1,1.234132919E1
1.091441375E0,3.811477702E0,4.777219335E0,1.393376638E1,1.521509226E1
1.101429375E0,4.372681474E0,3.914771983E0,1.791485134E1,1.885172888E1
1.111417375E0,3.713276347E0,2.682133607E0,1.999856979E1,2.051645816E1
1.121405375E0,2.347529615E0,2.051615772E0,2.025569291E1,2.049422158E1
1.131393375E0,1.273140576E0,1.944523725E0,1.906131842E1,1.920249774E1
1.141380375E0,4.812013264E-1,1.813500194E0,1.684042313E1,1.694462124E1
1.151368375E0,-2.766180316E-1,1.722183934E0,1.448132889E1,1.458599745E1
1.161356375E0,-6.812088096E-1,1.957332928E0,1.261374926E1,1.278287401E1
1.171344375E0,-7.595338713E-1,1.902412078E0,1.175642582E1,1.193354983E1
1.181332375E0,-5.013767421E-1,1.575415021E0,1.142727670E1,1.154625324E1
1.191320375E0,-3.078564523E-1,1.130185217E0,1.098169314E1,1.104398834E1
1.201308375E0,3.981277775E-2,5.677611315E-1,9.942308457E0,9.958586005E0
1.211296375E0,4.731478832E-1,2.283818646E-1,7.996484896E0,8.013725593E0
1.221283375E0,7.900181108E-1,2.104949395E-1,5.795298809E0,5.852685283E0
1.231271375E0,1.235784908E0,9.165890604E-2,3.424464532E0,3.641774708E0
1.241259375E0,1.493833791E0,-6.688147590E-2,6.174215341E-1,1.617783013E0
1.251247375E0,1.299356275E0,-7.876930386E-2,-1.993478953E0,2.380859020E0
1.261235375E0,8.281988210E-1,-1.324008429E-1,-4.180436425E0,4.263741547E0
