"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.164125002E-3,4.402302884E-1,9.271988332E-2,-9.373911148E-1,1.039760446E0
8.823875000E-3,4.156829461E-1,4.058873981E-1,-1.046294922E0,1.196774814E0
1.881287500E-2,7.149918289E-1,5.869335669E-1,-1.029201171E0,1.383820573E0
2.880087500E-2,1.028445857E0,5.971454367E-1,-9.694888204E-1,1.534337683E0
3.878887500E-2,1.210550080E0,5.761206034E-1,-7.614530736E-1,1.541803239E0
4.877687500E-2,1.172118232E0,3.976907712E-1,-5.682072741E-1,1.361939281E0
5.876487500E-2,1.095124727E0,2.070852819E-1,-4.371039283E-1,1.197180991E0
6.875287500E-2,9.780599615E-1,1.584572053E-1,-2.289833969E-1,1.016928400E0
7.874087500E-2,8.494143467E-1,2.136134058E-1,-1.630648112E-1,8.909127635E-1
8.872987500E-2,7.805636747E-1,3.537258491E-1,-3.101035738E-1,9.113538572E-1
9.871787500E-2,4.844967806E-1,5.895086807E-1,-3.823669732E-1,8.534999222E-1
1.087058750E-1,1.717517272E-1,8.749522072E-1,-1.046499574E-1,8.977703683E-1
1.186938750E-1,2.003773561E-1,1.110076350E0,3.062759864E-1,1.168856521E0
1.286818750E-1,5.604046033E-1,1.292192559E0,4.913345146E-1,1.491718651E0
1.386698750E-1,1.133454980E0,1.218118570E0,5.906652600E-1,1.765621276E0
1.486588750E-1,1.825543558E0,6.951424322E-1,2.334167558E-1,1.967311786E0
1.586468750E-1,2.155665074E0,-1.372587097E-1,-4.280120927E-1,2.202027751E0
1.686348750E-1,1.917115486E0,-5.848545894E-1,-8.457365942E-1,2.175467091E0
1.786228750E-1,1.280870303E0,-5.506755674E-1,-7.655975801E-1,1.590601134E0
1.886108750E-1,6.170094515E-1,-3.682503328E-1,1.068461716E-2,7.186258637E-1
1.985988750E-1,4.490834114E-1,-2.801710922E-1,8.050949371E-1,9.635090083E-1
2.085878750E-1,5.979608309E-1,-2.678530553E-1,1.195132288E0,1.362953998E0
2.185758750E-1,8.336971772E-1,-2.269932970E-1,1.192864153E0,1.472922886E0
2.285638750E-1,1.105129167E0,-2.330083278E-1,1.085825608E0,1.566722888E0
2.385518750E-1,1.329906515E0,-3.213316897E-1,9.582773691E-1,1.670389449E0
2.485398750E-1,1.437963938E0,-4.390180144E-1,6.074543703E-1,1.621566500E0
2.585278750E-1,1.357941868E0,-4.640271404E-1,6.338323295E-2,1.436434732E0
2.685168750E-1,1.127161256E0,-3.705830795E-1,-5.223417145E-1,1.296404714E0
2.785048750E-1,5.275095568E-1,3.382789671E-2,-9.768218136E-1,1.110671650E0
2.884928750E-1,2.291561821E-1,3.442144758E-1,-1.224298199E0,1.292246974E0
2.984808750E-1,1.945383997E-1,5.949749503E-1,-1.009001380E0,1.187402276E0
3.084688750E-1,3.990144347E-1,7.350724831E-1,-4.239365834E-1,9.376920077E-1
3.184568750E-1,6.269673329E-1,8.312141570E-1,1.506178433E-1,1.051993701E0
3.284448750E-1,8.220099087E-1,8.881511271E-1,7.676043445E-1,1.433083788E0
3.384338750E-1,1.031874957E0,8.197205776E-1,1.626299538E0,2.093217127E0
3.484218750E-1,1.321553768E0,6.627403790E-1,1.729522190E0,2.275296943E0
3.584098750E-1,1.395636821E0,2.342274722E-1,1.254877383E0,1.891396809E0
3.683978750E-1,1.416855197E0,3.544737080E-1,1.142996759E0,1.854608274E0
3.783858750E-1,1.384740096E0,4.055736950E-1,8.559791619E-1,1.677705421E0
3.883738750E-1,1.301673673E0,3.242070580E-1,4.594098866E-1,1.417928775E0
3.983628750E-1,1.247859555E0,1.629680398E-1,7.963615358E-2,1.260973421E0
4.083508750E-1,1.143829475E0,1.064596707E-1,-1.494834834E-1,1.158457959E0
4.183388750E-1,1.022733274E0,1.080518675E-1,-2.136134058E-1,1.050375763E0
4.283268750E-1,9.513668373E-1,2.034907061E-1,-2.245699185E-1,9.984683144E-1
4.383148750E-1,9.602988978E-1,2.222848266E-1,-2.299920416E-1,1.012166417E0
4.483028750E-1,6.548179865E-1,1.928052118E-1,-1.901251405E-1,7.085958045E-1
4.582908750E-1,6.807307266E-1,1.350692198E-1,-7.275398076E-2,6.978045271E-1
4.682798750E-1,8.059451953E-1,-6.992977560E-3,1.626461506E-1,8.222227982E-1
4.782678750E-1,9.328760411E-1,-1.062029779E-1,3.703152770E-1,1.009291923E0
4.882558750E-1,1.145000234E0,-1.087623042E-1,3.341327065E-1,1.197705907E0
4.982438750E-1,1.425181632E0,-4.715019286E-2,1.801918906E-1,1.437301271E0
5.082318750E-1,1.510538701E0,-5.395342827E-2,-2.415660203E-2,1.511694970E0
5.182198750E-1,1.505148007E0,-1.426302543E-1,-3.106789398E-1,1.543481557E0
5.282088750E-1,1.470941357E0,4.856375724E-2,-4.203177416E-1,1.530586136E0
5.381968750E-1,1.431655084E0,4.149236852E-1,-3.845415527E-1,1.539373298E0
5.481848750E-1,1.261135658E0,5.806328997E-1,-2.700758743E-1,1.414404005E0
5.581728750E-1,1.075755898E0,6.789874524E-1,9.201412439E-2,1.275437695E0
5.681608750E-1,1.055848322E0,7.219846603E-1,4.687560761E-1,1.362281097E0
5.781488750E-1,9.882811137E-1,5.752060989E-1,5.385461032E-1,1.263959462E0
5.881378750E-1,8.977659231E-1,2.784218976E-1,5.573870015E-1,1.092786656E0
5.981258750E-1,7.671540358E-1,1.515569061E-2,5.528057081E-1,9.457003545E-1
6.081138750E-1,6.661309601E-1,-2.310158890E-1,4.807878917E-1,8.533790446E-1
6.181018750E-1,6.447563902E-1,-3.568070394E-1,2.874461979E-1,7.909787498E-1
6.280898750E-1,6.740527678E-1,-3.498769194E-1,5.039247394E-2,7.611178581E-1
6.380778750E-1,6.119375767E-1,-2.527780563E-1,-1.194586158E-2,6.621986462E-1
6.480658750E-1,3.449360953E-1,-2.076413521E-1,-3.144632578E-3,4.026235582E-1
6.580548750E-1,1.716109554E-1,-8.158269167E-2,-1.172600627E-1,2.232845223E-1
6.680428750E-1,3.748357594E-3,8.091172367E-2,-1.655259043E-1,1.842812584E-1
6.780308750E-1,-9.162484601E-2,1.904341659E-1,-2.959644216E-1,3.636691117E-1
6.880188750E-1,-1.239185795E-2,2.818132827E-1,-4.315058041E-1,5.155284118E-1
6.980068750E-1,1.809311979E-1,3.721314222E-1,-2.562852162E-1,4.867237469E-1
7.079948750E-1,2.822934853E-1,3.849371168E-1,-5.653029621E-2,4.806889536E-1
7.179838750E-1,2.599729089E-1,3.765317443E-1,-5.578886926E-2,4.609495263E-1
7.279718750E-1,3.668847886E-1,2.547549999E-1,1.159736753E-2,4.468098668E-1
7.379598750E-1,4.833623477E-1,9.775433600E-2,1.724718118E-1,5.224381258E-1
7.479478750E-1,4.029875446E-1,-4.406374007E-2,2.227426636E-1,4.625525576E-1
7.579358750E-1,2.835629889E-1,-2.780134696E-1,7.174767494E-2,4.035432898E-1
7.679238750E-1,1.342232008E-1,-4.421661553E-1,-5.722611487E-2,4.656195923E-1
7.779118750E-1,-9.790636361E-2,-5.364966542E-1,-6.615949094E-2,5.493554352E-1
7.879008750E-1,-4.013780985E-1,-3.541307688E-1,5.484857851E-1,7.663873928E-1
7.978888750E-1,-3.173976830E-1,-3.406617075E-2,1.305569819E0,1.344029146E0
8.078768750E-1,3.939934306E-2,2.573815691E-1,1.262452451E0,1.289024349E0
8.178648750E-1,1.124101628E-1,4.923256177E-1,5.826458037E-1,7.710361153E-1
8.278528750E-1,-5.893883742E-2,5.212386373E-1,-4.336558253E-1,6.806033194E-1
8.378408750E-1,-2.212323278E-1,3.837138793E-1,-1.276478167E0,1.351138999E0
8.478298750E-1,-2.347222929E-1,-1.474235094E-1,-1.731063516E0,1.753114127E0
8.578178750E-1,-5.013063562E-1,3.100053406E-1,-1.128578694E0,1.273224742E0
8.678058750E-1,-6.025896330E-1,7.000438607E-1,-9.068031603E-1,1.294398565E0
8.777938750E-1,-3.813409330E-1,4.906097522E-1,-1.265246835E0,1.409598663E0
8.877818750E-1,-6.084919587E-1,4.149324560E-1,-1.657813691E0,1.814050066E0
8.977698750E-1,-1.274976456E0,5.050161222E-1,-1.401627293E0,1.960909309E0
9.077578750E-1,-1.259052003E0,3.546713439E-1,-9.943470883E-1,1.643085463E0
9.177468750E-1,-8.841083622E-1,9.313562036E-2,-4.129420638E-1,9.802259882E-1
9.277348750E-1,-4.865892068E-1,3.272452712E-2,2.682211375E-1,5.565811077E-1
9.377228750E-1,-7.932902127E-1,1.532891437E-1,9.439797574E-1,1.242539619E0
9.477100417E-1,-6.989821525E-1,1.456620356E-1,1.137745374E0,1.343226718E0
9.576980417E-1,-5.627463401E-1,2.822538704E-2,9.439341491E-1,1.099314238E0
9.676860417E-1,-3.943418150E-1,-3.105716434E-1,4.803388256E-1,6.947557845E-1
9.776750417E-1,-9.632443596E-2,-6.891138066E-1,1.292562103E-1,7.077170362E-1
9.876630417E-1,-1.648442286E-1,-8.422298728E-1,2.890576905E-1,9.055822032E-1
9.976510417E-1,-4.588232647E-1,-9.924789029E-1,3.999583215E-1,1.164259344E0
1.007639042E0,-7.500620397E-1,-1.068212186E0,1.999548948E-1,1.320474270E0
1.017627042E0,-1.046375759E0,-1.067162026E0,-2.248599404E-1,1.511389762E0
1.027615042E0,-1.136146453E0,-1.108350398E0,-1.057047366E0,1.906992004E0
1.037603042E0,-1.443144717E0,-1.153196496E0,-1.683670664E0,2.499455088E0
1.047592042E0,-1.934637545E0,-9.539492601E-1,-1.402479233E0,2.572895182E0
1.057580042E0,-8.344153614E-1,1.527336583E-1,1.532469268E0,1.751581749E0
1.067568042E0,4.872406597E-1,6.124829757E-1,6.994872057E-1,1.049676715E0
1.077556042E0,2.922399645E-1,5.994524556E-1,7.241647947E-1,9.844603056E-1
1.087544042E0,7.410951152E-1,3.477233899E-1,7.169475764E-1,1.088185349E0
1.097532042E0,1.233356706E0,-4.255540694E-1,-1.003294498E-1,1.308560671E0
1.107520042E0,6.007511953E-1,-1.037041995E0,4.757645488E-2,1.199425537E0
1.117509042E0,2.004643883E-1,-1.305312980E0,-2.206060910E-1,1.338915604E0
1.127497042E0,-1.511663852E-1,4.195592116E-1,-9.661600006E-1,1.064117641E0
1.137485042E0,-2.395271144E-1,7.770734717E-1,-1.723873195E0,1.906031272E0
1.147473042E0,-2.681119773E-1,1.268922395E0,-1.292299563E0,1.830870350E0
1.157461042E0,-1.729858734E-1,1.288577518E0,-8.902298123E-1,1.575711030E0
1.167449042E0,-4.522988318E-1,9.192931053E-1,-7.528512347E-1,1.271400420E0
1.177438042E0,-8.418125278E-1,8.202205145E-1,-6.747640085E-1,1.355255139E0
1.187426042E0,-1.234470308E0,7.217721140E-1,-6.803767508E-1,1.583598576E0
1.197414042E0,-1.470449606E0,5.647023068E-1,-2.257633352E-1,1.591251025E0
1.207402042E0,-1.324936382E0,4.005192156E-1,2.863176852E-1,1.413453174E0
1.217390042E0,-1.337069939E0,4.004420324E-1,2.857756484E-1,1.424702623E0
1.227378042E0,-7.545438574E-1,7.568723649E-2,2.605706406E-1,8.018491437E-1
1.237366042E0,-9.175813329E-1,-1.174379642E-1,-3.544283921E-1,9.906395223E-1
1.247355042E0,-1.038809389E0,-4.476452887E-2,-9.162230247E-1,1.385854769E0
1.257343042E0,-1.219435363E0,4.383793522E-1,-1.209701210E0,1.772731248E0
1.267331042E0,-1.363795808E0,1.113740069E0,-1.125264493E0,2.089635405E0
1.277319042E0,-1.436840834E0,1.655803565E0,-7.905745465E-1,2.330494613E0
1.287307042E0,-1.374246536E0,1.892764757E0,-4.988826853E-1,2.391651292E0
1.297295042E0,-1.349088306E0,1.848880672E0,-7.103729671E-1,2.396461715E0
1.307284042E0,-1.505014252E0,1.608851154E0,-1.032743415E0,2.433110950E0
1.317272042E0,-1.774744848E0,1.671437996E0,-8.107187891E-1,2.569180649E0
1.327260042E0,-1.752304696E0,2.008911071E0,5.687463874E-1,2.725760058E0
1.337248042E0,-1.273833910E0,1.871458234E0,1.714765572E0,2.839970021E0
1.347236042E0,-7.971761260E-1,1.598771139E0,2.203469424E0,2.836694632E0
1.357224042E0,-5.377638920E-1,1.471755874E0,1.876341097E0,2.444567706E0
1.367212042E0,-4.903423152E-1,1.498516826E0,1.871559829E0,2.447187050E0
1.377201042E0,-1.015622621E0,1.794093870E0,7.166055143E-1,2.182609810E0
1.387189042E0,-1.133221018E0,2.249348579E0,1.589594811E-1,2.523693131E0
1.397177042E0,-6.674671950E-1,2.106991974E0,-3.109403104E-1,2.231952399E0
1.407165042E0,-6.073068012E-2,2.115527593E0,-6.488064641E-1,2.213615830E0
1.417153042E0,3.443714004E-1,1.895112706E0,-8.954893827E-2,1.928227902E0
1.427141042E0,1.276725651E-1,8.546505283E-1,-1.621579081E-1,8.792172635E-1
1.437129042E0,3.537339804E-2,8.355122991E-1,-1.589600658E-1,8.512346220E-1
1.447118042E0,-1.038669787E0,1.208616552E-1,6.152925628E-1,1.213271365E0
1.457106042E0,-1.665748363E0,1.952309293E-1,1.782775707E0,2.447676847E0
1.467094042E0,-1.679895994E0,2.388323008E-1,2.465021228E0,2.992560955E0
1.477082042E0,-1.529062973E0,3.652565584E-2,2.911276633E0,3.288601425E0
1.487070042E0,-1.100617455E0,3.507013768E-2,3.070843640E0,3.262310433E0
1.497058042E0,-4.937220059E-1,3.071863979E-1,2.518236153E0,2.584499608E0
1.507046042E0,-3.327888702E-1,3.973932941E-1,1.380175028E0,1.474297450E0
1.517035042E0,-4.376569287E-1,2.483789036E-1,6.565148485E-1,8.271924887E-1
1.527023042E0,-1.538395129E-1,2.708576471E-3,8.889545345E-1,9.021718775E-1
1.537011042E0,1.068522966E0,-3.185853986E-1,1.038149166E0,1.523480119E0
1.546999042E0,2.467631132E0,-1.390213528E0,1.570453366E0,3.238552274E0
1.556987042E0,2.439731143E0,-3.192377725E0,3.312834753E0,5.207536624E0
1.566975042E0,1.281306944E0,-3.294068699E0,1.525863084E0,3.849791453E0
1.576964042E0,-9.971943900E-2,-1.647784547E0,1.247676537E0,2.069259438E0
1.586952042E0,-8.419522762E-2,-1.745533328E0,1.275273641E0,2.163399708E0
1.596940042E0,-1.743689409E-1,-4.028649724E-1,-2.644005668E-1,5.124571916E-1
1.606928042E0,3.411256841E-1,-2.521667299E-1,-6.574849015E-1,7.824584256E-1
1.616916042E0,1.109902249E0,-4.678746083E-1,-5.545049089E-1,1.325995983E0
1.626904042E0,1.575513693E0,-3.412034521E-1,-9.928694969E-1,1.893265177E0
1.636892042E0,1.627947868E0,-2.221269518E-2,-1.471172322E0,2.194323510E0
1.646881042E0,1.565095562E0,-8.357103735E-2,-2.329810798E0,2.807939919E0
