"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.077041674E-3,6.935179295E-1,2.112508383E-1,-8.397537231E-1,1.109405404E0
1.208604166E-2,2.022484651E-1,1.010773087E-1,-1.640390743E0,1.655899409E0
2.209504167E-2,-1.805998801E-1,-7.783257991E-2,-1.428670081E0,1.442141611E0
3.210404167E-2,-1.879933919E-1,-1.650359076E-1,-2.809943801E-1,3.762129820E-1
4.211304167E-2,-8.630943462E-2,-2.371762231E-1,1.147301479E0,1.174735103E0
5.212204167E-2,3.775824890E-2,-2.118104169E-1,2.066900686E0,2.078068282E0
6.213204167E-2,1.412919728E-1,-2.494080135E-1,1.233434474E0,1.266305011E0
7.214104167E-2,5.310634214E-1,-2.460350472E-1,-6.596243978E-2,5.889929078E-1
8.215004166E-2,5.938677800E-1,-7.524167866E-2,-6.068866056E-1,8.524386209E-1
9.215904167E-2,5.249826095E-1,6.479708970E-2,-3.967014223E-1,6.611939364E-1
1.021680417E-1,3.494926111E-1,2.052957416E-1,-2.274338847E-1,4.647769343E-1
1.121770417E-1,3.334877586E-1,2.949092916E-1,-6.155627042E-1,7.596729679E-1
1.221870417E-1,9.708468363E-2,2.359214106E-1,-8.698645449E-1,9.065035434E-1
1.321960417E-1,-8.101214960E-2,-1.464259744E-2,-6.735425252E-1,6.785550142E-1
1.422050417E-1,5.127775700E-1,-3.483124968E-1,-8.166168755E-1,1.025244143E0
1.522140417E-1,1.045057651E0,3.332912922E-3,-1.054204450E0,1.484420299E0
1.622230417E-1,1.567403458E0,4.377594012E-1,-1.015409929E0,1.918187743E0
1.722320417E-1,1.396669731E0,2.505031970E-1,-4.774269122E-1,1.497122122E0
1.822420417E-1,6.418021575E-1,-2.378632709E-1,-9.975466847E-2,6.916935297E-1
1.922510417E-1,4.719860049E-1,-1.544512779E-1,-1.710942078E-1,5.252610913E-1
2.022600417E-1,6.595081113E-1,2.632369709E-1,8.110672832E-3,7.101481780E-1
2.122690417E-1,1.103739284E0,4.877460784E-1,-2.306194478E-1,1.228544657E0
2.222780417E-1,1.244293484E0,7.973847985E-3,-4.669820309E-1,1.329060598E0
2.322870417E-1,1.766140817E0,-3.284980372E-1,2.634831387E-1,1.815650767E0
2.422970417E-1,2.377052792E0,-1.208634093E-1,9.071399599E-1,2.547133849E0
2.523060417E-1,2.475217310E0,4.615265787E-2,9.058623433E-1,2.636174764E0
2.623150417E-1,2.044002405E0,-4.438478145E-1,4.990084004E-1,2.150338601E0
2.723240417E-1,1.107843444E0,-1.875397941E0,-6.089863408E-1,2.261702655E0
2.823330417E-1,1.626262262E0,-1.378835724E0,-1.567839661E0,2.646514330E0
2.923420417E-1,2.243065161E0,-4.564111421E-1,-2.501427746E0,3.390692144E0
3.023520417E-1,2.811703228E0,-7.582403210E-1,-3.335434826E0,4.427835691E0
3.123610417E-1,4.043145848E0,-5.441626462E-1,-4.038298214E0,5.740295620E0
3.223700417E-1,5.024074454E0,-4.009041086E-1,-4.523159276E0,6.772076348E0
3.323790417E-1,4.848717918E0,-9.139630759E-1,-4.407583796E0,6.616055386E0
3.423880417E-1,3.590133108E0,-1.403062931E0,-3.471458019E0,5.187355983E0
3.523970417E-1,2.340931032E0,-2.491876904E0,-2.152850663E0,4.040318624E0
3.624070417E-1,2.405402432E0,-2.812676205E0,5.522227407E-2,3.701372420E0
3.724160417E-1,3.026955609E0,-3.250468058E0,8.556160498E-1,4.523282180E0
3.824250417E-1,3.622217950E0,-4.147959528E0,9.247237068E-1,5.584007974E0
3.924340417E-1,4.005768107E0,-4.830420519E0,2.796337330E-1,6.281507425E0
4.024430417E-1,2.317526675E0,-4.247694608E0,-1.307459639E0,5.012313845E0
4.124520417E-1,-2.979191458E-1,-3.964977930E0,-2.935711563E0,4.942490079E0
4.224620417E-1,-6.547270623E-1,-5.496754596E0,-3.053473316E0,6.321920429E0
4.324710417E-1,2.843068278E-1,-6.626224991E0,-2.506638200E0,7.090199085E0
4.424800417E-1,-3.751485854E-2,-5.958566519E0,-2.157209178E0,6.337150287E0
4.524890417E-1,-9.061734152E-1,-5.724611235E0,-1.171846336E0,5.913167331E0
4.624980417E-1,-1.666886816E0,-6.109774931E0,-4.062259519E-1,6.346091781E0
4.725070417E-1,-2.215573161E0,-6.437679768E0,-2.705033058E-1,6.813637594E0
4.825170417E-1,-2.397992256E0,-6.100919908E0,-7.260452592E-1,6.595356874E0
4.925260417E-1,-2.075536439E0,-5.583956462E0,-8.682144606E-1,6.020150964E0
5.025350417E-1,-1.822833227E0,-5.632105359E0,-4.281723064E-1,5.935205412E0
5.125440417E-1,-1.984678309E0,-5.345988818E0,2.757681388E-1,5.709167409E0
5.225530417E-1,-1.693104562E0,-4.690042319E0,9.859200811E-1,5.082827798E0
5.325620417E-1,-1.022202054E0,-4.043587021E0,1.695591382E0,4.502279775E0
5.425720417E-1,-4.222578478E-1,-3.326159973E0,2.646744504E0,4.271638833E0
5.525810417E-1,2.015558624E-1,-2.675215474E0,3.800928741E0,4.652360894E0
5.625900417E-1,4.195213509E-1,-2.024263813E0,4.594487706E0,5.038150397E0
5.725990417E-1,5.357897258E-1,-1.578036035E0,5.258178257E0,5.515950230E0
5.826080417E-1,6.236423868E-1,-1.158007146E0,5.973399736E0,6.116487127E0
5.926170417E-1,1.037548656E0,-5.233707514E-1,6.617310911E0,6.718573349E0
6.026270417E-1,1.516594663E0,4.701940526E-1,7.093739119E0,7.269269324E0
6.126360417E-1,1.585259101E0,1.081846285E0,6.926266676E0,7.187253152E0
6.226450417E-1,1.328230119E0,1.445641624E0,6.149321405E0,6.455093237E0
6.326540417E-1,1.354255491E0,1.843464835E0,5.779752817E0,6.215940247E0
6.426630417E-1,2.073447813E0,2.378448230E0,5.990429751E0,6.770631464E0
6.526720417E-1,3.026441638E0,2.944551091E0,6.688096134E0,7.909510732E0
6.626820417E-1,3.410477407E0,3.274125016E0,7.455844905E0,8.828412882E0
6.726910417E-1,3.498484434E0,3.680455925E0,7.572840089E0,9.117733061E0
6.827000417E-1,3.601784855E0,4.114504976E0,6.798417306E0,8.724705336E0
6.927090417E-1,3.905764639E0,4.434159976E0,5.549870703E0,8.106653868E0
7.027180417E-1,4.190725186E0,4.576924132E0,4.270576517E0,7.533142497E0
7.127270417E-1,4.258889102E0,4.615502891E0,2.894656507E0,6.915203513E0
7.227373333E-1,4.182774727E0,4.615238305E0,1.647078204E0,6.442739761E0
7.327463333E-1,4.064683775E0,4.505617629E0,8.384515482E-1,6.125785289E0
7.427553333E-1,4.440118874E0,4.503377269E0,8.797554025E-1,6.385063195E0
7.527643333E-1,5.196144562E0,4.755593992E0,1.870444180E0,7.287945798E0
7.627733333E-1,6.096985901E0,5.240367054E0,3.140510291E0,8.631192781E0
7.727823333E-1,6.643287751E0,5.779676219E0,3.974615604E0,9.661029890E0
7.827923333E-1,6.620977115E0,5.955605489E0,3.687290151E0,9.638603807E0
7.928013333E-1,5.944989869E0,5.744744368E0,2.576590488E0,8.659319311E0
8.028103333E-1,5.274969122E0,5.671626105E0,1.274458831E0,7.849642490E0
8.128193333E-1,5.202235606E0,5.746942921E0,-1.805134875E-1,7.753914712E0
8.228283333E-1,5.553293079E0,5.845134044E0,-1.677067988E0,8.235120706E0
8.328373333E-1,6.135457072E0,6.108766286E0,-2.736716781E0,9.080224543E0
8.428473333E-1,6.940888224E0,6.341633989E0,-3.122855208E0,9.906789370E0
8.528563333E-1,7.173225583E0,6.276796553E0,-3.244115936E0,1.006864581E1
8.628653333E-1,6.340692587E0,5.710500734E0,-3.293824870E0,9.146774480E0
8.728743333E-1,4.286182151E0,4.754358476E0,-2.755434887E0,6.969053262E0
8.828833333E-1,2.072899929E0,3.637662200E0,-1.980220538E0,4.631498006E0
8.928923333E-1,1.853146362E-1,3.205977764E0,-1.734390582E0,3.649759667E0
9.029023333E-1,-1.187837886E0,2.951428001E0,-1.686752877E0,3.600975057E0
9.129113333E-1,-1.392249529E0,3.122008531E0,-1.712833067E0,3.823492269E0
9.229203333E-1,-3.974007493E-1,3.431408977E0,-2.603816001E0,4.325777698E0
9.329293333E-1,4.928723323E-1,3.719156891E0,-3.853577070E0,5.378206704E0
9.429383333E-1,3.920166332E-1,3.358009171E0,-4.878719105E0,5.935638360E0
9.529473333E-1,-2.428354508E-1,2.559465455E0,-5.186787263E0,5.789006355E0
9.629573333E-1,-1.310037677E0,2.461131952E0,-3.435742056E0,4.424668652E0
9.729663333E-1,-2.093041248E0,2.265756450E0,-1.032108407E0,3.252648417E0
9.829753333E-1,-1.994429711E0,1.186072027E0,1.408651992E-1,2.324727883E0
9.929843333E-1,-2.375053629E0,2.839732441E-1,-5.188475646E-2,2.392532669E0
1.002993333E0,-3.238935887E0,8.581211431E-1,-2.948668993E-1,3.363632570E0
1.013002333E0,-3.410501965E0,1.038675561E0,-6.833876283E-1,3.630067386E0
1.023012333E0,-3.396324221E0,4.519593644E-1,-1.443373489E0,3.717877421E0
1.033021333E0,-3.442823619E0,4.675725996E-3,-2.373464355E0,4.181673036E0
1.043030333E0,-2.447164416E0,-4.301334625E-1,-2.243542878E0,3.347702663E0
1.053039333E0,-1.279634494E0,-1.029714849E0,-4.804260953E-1,1.711311293E0
1.063048333E0,-1.086489851E0,-2.221390848E-1,1.265696486E0,1.682793382E0
1.073057333E0,-1.244785089E0,-2.520402838E-1,2.269848186E0,2.601004615E0
1.083067333E0,-1.797972035E0,-5.326756449E-1,2.864072646E0,3.423354919E0
1.093076333E0,-2.567861472E0,-1.216653257E0,3.261815457E0,4.325921609E0
1.103085333E0,-2.600451513E0,-3.080818698E0,3.122962797E0,5.099675337E0
1.113094333E0,-1.709466240E0,-4.419267118E0,2.618336391E0,5.413675475E0
1.123103333E0,5.114290559E-1,-3.434742767E0,2.527091761E0,4.294788740E0
1.133112333E0,2.934848514E0,-1.294201955E0,2.309995168E0,3.952767660E0
1.143122333E0,3.935136373E0,-8.175559384E-1,1.637959617E0,4.340116092E0
1.153131333E0,4.045777388E0,-1.486397302E0,2.757734013E-1,4.318997867E0
1.163140333E0,3.756368279E0,-1.802229685E0,-4.932219227E-1,4.195426362E0
1.173149333E0,2.545465466E0,-1.317226244E0,-1.135155058E-1,2.868338402E0
1.183158333E0,1.857603110E0,-9.611179465E-1,3.691148071E-1,2.123836802E0
1.193167333E0,-7.502270043E-2,-1.865308279E0,-1.726893282E-1,1.874786650E0
1.203176333E0,-1.957976999E0,-2.703147623E0,-8.562873101E-1,3.445853879E0
1.213186333E0,-1.934774662E0,-2.418589950E0,-1.666351211E0,3.517052274E0
1.223195333E0,-1.318567595E0,-2.238120609E0,-1.751788387E0,3.133140105E0
1.233204333E0,-1.033375499E0,-2.427392641E0,-1.579235299E0,3.074749434E0
1.243213333E0,-1.274922808E0,-2.596515752E0,-1.537077459E0,3.275657084E0
1.253222333E0,-1.643580399E0,-1.758880475E0,-1.220789870E0,2.699137818E0
1.263231333E0,-1.540964688E0,-8.771607006E-1,-8.924464917E-1,1.985055114E0
1.273241333E0,-9.755880511E-1,1.752673656E-1,-9.073588651E-2,9.953510416E-1
1.283250333E0,-9.933542311E-1,2.148206512E0,8.739060672E-1,2.522945830E0
1.293259333E0,-1.604182445E0,3.844824958E0,1.771999873E0,4.527257870E0
1.303268333E0,-2.361207422E0,2.999723371E0,1.938826783E0,4.281669077E0
1.313277333E0,-2.604980766E0,1.958426650E0,1.349903262E0,3.527548519E0
1.323287333E0,-2.838093467E0,1.660850151E0,6.659288657E-1,3.355094485E0
1.333296333E0,-2.924911755E0,1.338784928E0,3.554417145E-1,3.236323944E0
1.343305333E0,-3.032644950E0,7.936940360E-1,6.972605860E-1,3.211395014E0
1.353314333E0,-3.043366989E0,3.655451185E-1,9.714420828E-1,3.215494609E0
1.363323333E0,-1.915778228E0,-9.771855104E-1,-5.652243170E-1,2.223640319E0
1.373332333E0,-4.659441501E-1,-1.222487317E0,-2.598656710E0,2.909397857E0
1.383341333E0,9.756839454E-2,6.982148516E-1,-1.773068598E0,1.908086954E0
1.393351333E0,-7.166055143E-2,1.067078850E0,-1.648914814E-1,1.082119082E0
1.403360333E0,-6.863438344E-1,5.792129034E-1,9.518004084E-1,1.308617386E0
1.413369333E0,-8.900660902E-1,7.134965497E-1,1.754165865E0,2.092460956E0
1.423378333E0,-9.611620930E-1,1.491945140E0,1.684572304E0,2.446940277E0
1.433387333E0,-7.662027669E-1,2.424873660E0,1.085782338E0,2.765140545E0
1.443396333E0,-8.555148929E-1,2.965414833E0,7.594760569E-1,3.178426458E0
1.453406333E0,-1.276367801E0,3.028789880E0,5.491400886E-1,3.332302168E0
1.463415333E0,-1.085605022E0,3.208716307E0,3.968341541E-1,3.410553613E0
1.473424333E0,-2.226861649E-1,4.814817224E0,-1.856859344E-1,4.823539498E0
1.483433333E0,3.959472777E-1,5.033620618E0,-5.929714018E-1,5.083869182E0
1.493442333E0,7.354361068E-1,5.043097785E0,-9.552455878E-1,5.185190032E0
1.503451333E0,1.167843186E0,5.355004640E0,-1.527414935E0,5.689721328E0
1.513461333E0,1.869606567E0,5.065450521E0,-1.435547576E0,5.587039873E0
1.523470333E0,2.691673924E0,4.926970913E0,-1.459471459E0,5.800879919E0
1.533479333E0,3.468406650E0,4.770280736E0,-1.285505683E0,6.036385330E0
1.543488333E0,1.683553427E0,-1.574056420E0,-9.993007033E-1,2.512092286E0
1.553497333E0,-5.441013674E0,-8.544635636E0,-5.752128232E-1,1.014624550E1
1.563506333E0,-8.061657962E0,-1.303597203E1,-5.764126718E-2,1.532743352E1
1.573516333E0,-1.084919289E1,-1.933860626E1,1.908127146E0,2.225595712E1
1.583525333E0,-1.425362194E1,-2.135878418E1,5.132870087E0,2.618606033E1
1.593534333E0,-1.269949517E1,-1.620966293E1,5.394841136E0,2.128695987E1
1.603543333E0,-5.429136225E0,-7.580866562E0,-2.942184430E-1,9.329074041E0
1.613552333E0,-2.548929942E-1,-1.026387491E0,-1.571354422E0,1.894095151E0
1.623561333E0,2.084037706E0,2.316674443E0,-8.506125873E-1,3.230129317E0
1.633571333E0,2.801175901E0,3.841304349E0,-1.298787049E0,4.928392571E0
1.643580333E0,1.897836339E0,3.262587875E0,-3.180077230E0,4.935499326E0
1.653589333E0,1.646900448E-1,1.333415430E0,-4.455014071E0,4.653199962E0
1.663598333E0,-6.614855665E-1,-2.206546229E-1,-3.447853979E0,3.517662388E0
1.673607333E0,-3.826952943E-1,-7.242156655E-1,-1.722110260E0,1.906989188E0
1.683616333E0,1.598052809E-1,-3.395647699E-1,-1.904917427E-1,4.208670393E-1
1.693626333E0,7.187798014E-1,1.755263972E-1,9.665973723E-1,1.217277454E0
1.703635333E0,9.736432672E-1,3.643709975E-1,1.205201339E0,1.591621093E0
1.713644333E0,9.624002409E-1,2.391832799E-1,1.091582776E0,1.474779923E0
1.723653417E0,1.174629611E0,2.458274710E-1,8.393409097E-1,1.464472270E0
1.733662417E0,1.377748434E0,4.008254635E-1,6.548799670E-1,1.577250637E0
1.743671417E0,1.212336550E0,1.626093131E-1,2.840987400E-1,1.255752282E0
1.753681417E0,1.438797458E0,1.996683812E-1,8.574832119E-2,1.455114553E0
1.763690417E0,2.852497790E0,1.067444885E0,-6.874220610E-1,3.122295841E0
1.773699417E0,2.423708895E0,4.720445502E-1,-1.305207292E0,2.792983519E0
1.783708417E0,3.019513273E0,6.773350292E-1,-1.954175870E0,3.659924381E0
1.793717417E0,3.331438839E0,8.927768594E-1,-2.161142892E0,4.070144206E0
1.803726417E0,3.292304009E0,1.102534611E0,-1.852557548E0,3.935329430E0
1.813736417E0,3.400209112E0,1.753625582E0,-1.372647762E0,4.064577046E0
1.823745417E0,3.422047293E0,2.329140122E0,-9.055024472E-1,4.237361922E0
1.833754417E0,3.322506632E0,2.910015973E0,-5.084610093E-1,4.445871780E0
1.843763417E0,2.968850657E0,3.806457868E0,4.339014083E-2,4.827533369E0
1.853772417E0,2.390453733E0,4.715261360E0,7.278061482E-1,5.336446433E0
