"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.650000000E-3,-8.295854151E-1,-4.501557907E-1,-3.106607550E0,3.246823473E0
1.765900000E-2,-4.760001916E-1,-1.355735421E-2,-1.634089199E0,1.702059780E0
2.766800000E-2,2.155529273E-1,2.331492457E-1,1.396239669E0,1.431889258E0
3.767700000E-2,1.009443137E0,-9.226438522E-2,3.244789535E0,3.399433378E0
4.768600001E-2,1.702525449E0,-5.431273967E-2,2.252490141E0,2.824049330E0
5.769500000E-2,1.407571865E0,6.700496909E-1,-4.948130232E-1,1.635562616E0
6.770400000E-2,9.271615572E-1,1.168381568E0,-4.638976246E-1,1.562032346E0
7.771300001E-2,-2.992517263E-2,6.702528816E-1,7.284016871E-1,9.903047304E-1
8.772100000E-2,-7.175498396E-2,-3.381146604E-1,8.225114536E-1,8.921857389E-1
9.773050000E-2,-2.297582991E-1,-7.112848404E-1,2.067376649E-1,7.755355971E-1
1.077395000E-1,-7.092823152E-1,-5.630541229E-1,-5.315867472E-1,1.050093242E0
1.177485000E-1,-8.189810510E-1,-1.543936828E-1,-5.455580842E-1,9.960928644E-1
1.277575000E-1,-3.672628842E-1,1.680928320E-1,-7.514022946E-2,4.108324237E-1
1.377665000E-1,-5.984493658E-2,3.596905938E-1,3.740697742E-1,5.223858111E-1
1.477755000E-1,4.671238258E-2,4.660754201E-1,7.425782615E-1,8.779697138E-1
1.577845000E-1,1.798188382E-1,5.449420801E-1,4.350047779E-1,7.200873850E-1
1.677935000E-1,3.829252361E-1,6.262978998E-1,-8.007060170E-2,7.384389595E-1
1.778025000E-1,5.621787947E-1,5.151101705E-1,-7.731247008E-2,7.663946132E-1
1.878105000E-1,8.193070333E-1,1.536531329E-1,-2.446159279E-1,8.687406127E-1
1.978195000E-1,9.801567730E-1,-4.353252053E-4,-6.727069581E-1,1.188798612E0
2.078285000E-1,1.150839483E0,1.067283502E-1,-9.967339218E-1,1.526204759E0
2.178375000E-1,9.542562389E-1,3.926463783E-2,-8.017684561E-1,1.246988107E0
2.278465000E-1,8.505979693E-1,-3.290734032E-1,-7.290583295E-1,1.167618199E0
2.378555000E-1,9.294967890E-1,-1.161414903E0,-1.030958844E0,1.809896405E0
2.478645000E-1,9.690602195E-1,-1.295364966E0,-1.093945051E0,1.952886039E0
2.578735000E-1,3.426570699E-1,-3.296952546E-1,-1.029326302E0,1.133854252E0
2.678825000E-1,5.658606403E-1,3.073048040E-1,-1.482025924E0,1.615869842E0
2.778915000E-1,1.677011416E0,1.925950044E-1,-2.352479868E0,2.895448438E0
2.879005000E-1,1.417269180E0,-5.431425995E-1,-3.400464635E0,3.723817335E0
2.979085000E-1,1.895143696E0,5.043925166E-2,-3.319277215E0,3.822527302E0
3.079175000E-1,1.933416354E0,3.835580510E-1,-2.648294016E0,3.301314401E0
3.179265000E-1,1.222433230E0,-5.446579054E-1,-2.573613378E0,2.900772493E0
3.279355000E-1,1.239687340E0,-1.160207453E-1,-1.452955906E0,1.913469723E0
3.379445000E-1,2.086423954E0,9.384956539E-1,-3.808741790E-1,2.319268020E0
3.479535000E-1,2.560500412E0,1.085392621E0,-3.447740543E-1,2.802339853E0
3.579625000E-1,-2.215201570E-1,-2.896283203E0,-2.493441619E0,3.828156042E0
3.679715000E-1,5.047756554E-1,-3.292034745E0,-2.740709844E0,4.313210136E0
3.779805000E-1,-1.709690773E-1,-1.633128501E0,-3.038244243E0,3.453587585E0
3.879885000E-1,-1.056147480E0,-3.141173950E0,-2.874250309E0,4.386768301E0
3.979975000E-1,1.069916796E0,-4.033111149E0,-2.022638433E0,4.637000509E0
4.080065000E-1,1.436701232E0,-2.388531899E0,-1.381722202E0,3.111004871E0
4.180155000E-1,1.693417680E0,-1.882541485E0,-1.267917259E0,2.831826276E0
4.280245000E-1,1.601841804E0,-2.137497044E0,-1.158281381E0,2.911426890E0
4.380335000E-1,1.210907491E0,-2.234356171E0,-8.497705883E-1,2.679692987E0
4.480425000E-1,1.262247506E0,-2.635897919E0,-1.217636467E0,3.166048826E0
4.580515000E-1,8.569854677E-1,-2.698169596E0,-9.387570244E-1,2.982584117E0
4.680605000E-1,1.237580734E-1,-2.716589495E0,-1.075411717E0,2.924326402E0
4.780695000E-1,-5.773201597E-1,-2.940875531E0,-1.353325784E0,3.288394461E0
4.880785000E-1,-1.371791291E0,-2.995892860E0,-1.354903362E0,3.562716449E0
4.980865000E-1,-1.769049368E0,-3.023637314E0,-1.166186816E0,3.692141650E0
5.080955000E-1,-2.001981974E0,-2.911610802E0,-8.070385516E-1,3.624461409E0
5.181045000E-1,-2.190264072E0,-2.795200047E0,-1.975996363E-1,3.556605914E0
5.281135000E-1,-2.291358338E0,-2.743474408E0,4.332009119E-1,3.600644094E0
5.381225000E-1,-2.176451195E0,-2.641766769E0,9.770685661E-1,3.559569419E0
5.481315000E-1,-1.880709552E0,-2.420607385E0,1.645418179E0,3.479052963E0
5.581405000E-1,-1.722204400E0,-2.203246061E0,1.998162573E0,3.436995034E0
5.681495000E-1,-1.625116062E0,-2.221486742E0,2.242672666E0,3.550434656E0
5.781585000E-1,-1.809811478E0,-2.074149772E0,2.639733108E0,3.813883289E0
5.881675000E-1,-2.039504142E0,-1.931044431E0,3.035387294E0,4.135466813E0
5.981755000E-1,-1.869084118E0,-1.758715291E0,3.609480375E0,4.428871582E0
6.081845000E-1,-1.517445433E0,-1.503547039E0,4.273623501E0,4.777776907E0
6.181935000E-1,-1.054173460E0,-1.087466775E0,4.860316747E0,5.090829457E0
6.282025000E-1,-4.381429785E-1,-4.733101069E-1,5.133786346E0,5.174142825E0
6.382115000E-1,2.024539948E-1,2.279499746E-1,5.055837699E0,5.065021584E0
6.482205000E-1,8.766777205E-1,7.451082786E-1,4.963543493E0,5.095146139E0
6.582295000E-1,1.177701153E0,1.040560411E0,4.847149987E0,5.095547956E0
6.682385000E-1,1.234308633E0,1.137506150E0,4.701620976E0,4.992261796E0
6.782475000E-1,1.050349381E0,1.332754548E0,4.751728690E0,5.045631185E0
6.882565000E-1,1.022865129E0,1.245472868E0,5.128430296E0,5.375709538E0
6.982645000E-1,1.306086713E0,7.943739210E-1,5.404684339E0,5.616716588E0
7.082735000E-1,1.378798594E0,7.725124973E-1,5.438060830E0,5.663070432E0
7.182825000E-1,1.756490718E0,6.933189780E-1,5.277850045E0,5.605501935E0
7.282915000E-1,2.267998711E0,1.130435332E0,4.813409506E0,5.439725477E0
7.383005000E-1,2.972913303E0,1.606954025E0,4.121424863E0,5.329789644E0
7.483095000E-1,3.814275010E0,1.945591719E0,3.072833447E0,5.270325074E0
7.583185000E-1,4.538429865E0,2.309301396E0,1.911593814E0,5.439155218E0
7.683275000E-1,5.394510768E0,2.306586242E0,1.072493956E0,5.964170504E0
7.783365000E-1,5.733513620E0,2.483384116E0,7.604783428E-1,6.294338918E0
7.883455000E-1,5.719405459E0,2.314406893E0,8.473884326E-1,6.227852376E0
7.983535000E-1,5.543415377E0,2.309046458E0,6.908776192E-1,6.044705243E0
8.083625000E-1,4.819530664E0,2.533872192E0,2.217648630E-1,5.449547115E0
8.183715000E-1,4.358932039E0,2.353619783E0,-5.713438667E-1,4.986606904E0
