"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.661374998E-3,-3.273826808E-1,-2.286799264E-1,6.136167508E-1,7.321198299E-1
1.367037499E-2,-9.787407236E-1,-3.053801930E-1,-7.529506373E-1,1.272055474E0
2.367937499E-2,-1.254089178E0,-3.355298987E-1,-1.340582947E0,1.866141103E0
3.368837500E-2,-7.643946616E-1,-1.720113435E-1,-6.535783768E-1,1.020319458E0
4.369837500E-2,-2.828499940E-1,-2.515969187E-2,8.437140423E-1,8.902193631E-1
5.370737499E-2,-3.536922276E-1,-7.630674899E-2,2.341771862E0,2.369560374E0
6.371637499E-2,-5.841252954E-1,-3.622961131E-1,2.839007971E0,2.921031855E0
7.372537500E-2,-3.980180691E-1,-4.198827088E-1,1.523628863E0,1.629774458E0
8.373437499E-2,-6.669787332E-2,-5.772985250E-2,-8.228149241E-1,8.275299037E-1
9.374337499E-2,-3.755977978E-1,5.266344479E-1,-1.726015615E0,1.843243731E0
1.037523750E-1,-7.279340561E-1,9.903268352E-1,-1.159089466E0,1.689415171E0
1.137613750E-1,-3.665400222E-1,1.022777420E0,-2.987050116E-1,1.126787435E0
1.237703750E-1,7.755454481E-3,6.965153584E-1,2.933974940E-1,7.558279440E-1
1.337793750E-1,8.854146302E-4,2.683310652E-1,3.095831716E-1,4.096877892E-1
1.437883750E-1,-2.214378574E-1,1.182453185E-2,1.199772638E-1,2.521291100E-1
1.537983750E-1,-3.966664852E-1,-5.744889379E-4,-4.171403646E-3,3.966888342E-1
1.638073750E-1,-5.307206284E-1,1.169001666E-1,-9.115809202E-2,5.510352367E-1
1.738155000E-1,-4.427796744E-1,2.690344852E-1,-2.099963182E-1,5.590454793E-1
1.838245000E-1,-2.701466256E-1,4.614283454E-1,-1.528485560E-1,5.561097000E-1
1.938335000E-1,-3.109414798E-1,5.972875240E-1,-6.677344859E-2,6.766798975E-1
2.038425000E-1,-4.587137756E-1,5.545972949E-1,-9.310930789E-2,7.257174592E-1
2.138515000E-1,-3.485645118E-1,4.143918809E-1,-6.953450382E-2,5.459422104E-1
2.238605000E-1,-2.884142044E-1,3.389011109E-1,-7.434033036E-2,4.511797879E-1
2.338695000E-1,-3.107078835E-1,4.688700968E-1,-2.508397043E-1,6.158726441E-1
2.438785000E-1,-2.726944037E-1,8.697169027E-1,-1.017447098E0,1.366004512E0
2.538875000E-1,-3.681479334E-1,1.118919094E0,-1.515667879E0,1.919573380E0
2.638965000E-1,-7.278677633E-1,1.235575724E0,-6.216221738E-1,1.562962884E0
2.739065000E-1,-6.729416507E-1,1.309263798E0,2.046233118E-1,1.486234456E0
2.839155000E-1,-2.490663169E-1,5.670100567E-1,-6.705545980E-1,9.127857927E-1
2.939245000E-1,-2.419174379E-1,-3.567166999E-1,-1.866356977E0,1.915478847E0
3.039335000E-1,-1.916223201E-1,-5.870078266E-2,-2.472798024E0,2.480906077E0
3.139425000E-1,5.829761714E-1,2.008672651E0,-6.976406550E-1,2.204842289E0
3.239515000E-1,1.361678385E0,3.389718622E0,1.502216359E0,3.949811939E0
3.339605000E-1,2.108635188E0,3.355325007E0,2.150128784E0,4.508614205E0
3.439695000E-1,3.484629165E0,2.740285629E0,2.075110762E0,4.894679807E0
3.539785000E-1,4.071742533E0,1.834144081E0,1.626377891E0,4.752712574E0
3.639875000E-1,3.950938766E0,1.336724077E0,4.978342795E-1,4.200546078E0
3.739965000E-1,4.037880723E0,1.412780272E0,8.891510010E-2,4.278823989E0
3.840065000E-1,4.792391397E0,1.928552932E0,1.535330311E0,5.389208744E0
3.940155000E-1,4.793812271E0,2.407089646E0,4.051079058E0,6.722050148E0
4.040245000E-1,4.083766163E0,2.854884916E0,7.492271889E0,8.997869304E0
4.140335000E-1,3.351048061E0,2.022652174E0,1.150358052E1,1.215125548E1
4.240425000E-1,4.251815433E0,1.038742658E0,1.428083254E1,1.493650223E1
4.340515000E-1,6.527118194E0,7.688544792E-1,1.423374842E1,1.567781883E1
4.440605000E-1,7.582307900E0,1.884607306E0,1.233830096E1,1.460399974E1
4.540695000E-1,8.691888406E0,3.790699621E0,9.971620549E0,1.376050668E1
4.640785000E-1,9.624425747E0,4.657891989E0,8.363134553E0,1.357451835E1
4.740875000E-1,8.220715091E0,4.670062383E0,7.959601244E0,1.235900041E1
4.840965000E-1,6.772485489E0,4.300569810E0,8.578894472E0,1.174559027E1
4.941055000E-1,5.359091844E0,3.827831780E0,9.863372215E0,1.185994405E1
5.041155000E-1,4.085380579E0,3.794174622E0,1.098809350E1,1.232170014E1
5.141245000E-1,3.317167540E0,3.679563932E0,1.197630920E1,1.296050822E1
5.241335000E-1,2.745457199E0,4.774438106E0,1.227103226E1,1.345031699E1
5.341425000E-1,3.009823852E0,6.494838055E0,1.159149224E1,1.362367988E1
5.441515000E-1,3.900455075E0,7.996263871E0,1.048897634E1,1.375399616E1
5.541605000E-1,2.774983006E0,9.467878243E0,8.997192001E0,1.335255455E1
5.641695000E-1,1.686694844E0,1.045124075E1,7.950459123E0,1.323945516E1
5.741785000E-1,7.353617741E-1,1.126309741E1,7.313096244E0,1.344914484E1
5.841875000E-1,1.409128540E-1,1.120966672E1,6.215575036E0,1.281834067E1
5.941965000E-1,5.828080639E-1,1.054489444E1,4.866017198E0,1.162809474E1
6.042055000E-1,1.251452377E0,8.540458969E0,3.668753015E0,9.378982948E0
6.142145000E-1,1.524126754E0,5.971906357E0,2.999228112E0,6.854341483E0
6.242245000E-1,1.946196467E0,2.861928472E0,2.728347076E0,4.407061724E0
6.342335000E-1,2.770038893E0,-8.133588070E-1,2.644838312E0,3.915333666E0
6.442425000E-1,3.471824932E0,-4.586948891E0,2.761832326E0,6.381331074E0
6.542515000E-1,3.998348575E0,-7.728277792E0,3.041067864E0,9.217437969E0
6.642605000E-1,4.187151660E0,-1.045897896E1,3.081907741E0,1.167992445E1
6.742695000E-1,4.218184588E0,-1.287258445E1,2.909799042E0,1.385508723E1
6.842785000E-1,3.615055110E0,-1.406881250E1,3.738687469E0,1.499926307E1
6.942875000E-1,3.128372641E0,-1.535571099E1,4.050312488E0,1.618609300E1
7.042965000E-1,2.641417398E0,-1.651771296E1,3.538112769E0,1.709766561E1
7.143055000E-1,1.842565241E0,-1.633675801E1,2.563100084E0,1.663893599E1
7.243145000E-1,2.144112292E0,-1.606085129E1,7.770774186E-1,1.622196076E1
7.343235000E-1,3.339932504E0,-1.563154521E1,-1.620055004E0,1.606626692E1
7.443335000E-1,3.910518426E0,-1.473604062E1,-3.340577452E0,1.560777067E1
7.543425000E-1,3.508712969E0,-1.434257212E1,-3.808559357E0,1.524878901E1
7.643515000E-1,2.703891681E0,-1.404939507E1,-3.233085748E0,1.466797108E1
7.743605000E-1,1.512654809E0,-1.345521622E1,-1.752002395E0,1.365285613E1
7.843695000E-1,5.895303154E-1,-1.296542654E1,6.169148728E-2,1.297896903E1
7.943785000E-1,3.113811904E-1,-1.233930902E1,1.710176092E0,1.246114793E1
8.043875000E-1,9.062277943E-1,-1.159639923E1,2.873870240E0,1.198152136E1
8.143965000E-1,2.728615463E0,-1.101349498E1,3.417216908E0,1.184988546E1
8.244055000E-1,5.034935657E0,-1.025907552E1,3.701044264E0,1.201236597E1
8.344145000E-1,6.992727883E0,-9.543632430E0,4.079773099E0,1.251493954E1
8.444235000E-1,7.921438222E0,-9.105951381E0,4.565030018E0,1.290376043E1
8.544325000E-1,7.889234097E0,-8.873504679E0,5.026548411E0,1.289361427E1
8.644425000E-1,7.149833212E0,-8.731009787E0,5.385876185E0,1.250433162E1
8.744515000E-1,6.131011434E0,-8.523469884E0,5.489744954E0,1.184804371E1
8.844605000E-1,5.542582734E0,-8.323990953E0,5.223568003E0,1.128249580E1
8.944695000E-1,5.780707083E0,-8.178688813E0,4.495569774E0,1.097805414E1
9.044785000E-1,5.917941819E0,-7.932281883E0,3.586944036E0,1.052659958E1
9.144875000E-1,5.749472426E0,-7.814082173E0,2.763071351E0,1.008716396E1
9.244965000E-1,5.874825035E0,-7.553569420E0,1.971225328E0,9.770143779E0
9.345055000E-1,6.249543266E0,-6.762606034E0,9.875773282E-1,9.260936258E0
9.445145000E-1,6.276317666E0,-5.914976696E0,8.188002259E-2,8.624721276E0
9.545235000E-1,5.986837807E0,-5.174965362E0,-6.367512596E-1,7.939014145E0
9.645325000E-1,5.085577807E0,-4.265452602E0,-1.255854453E0,6.755320713E0
9.745425000E-1,3.661646894E0,-2.948528659E0,-1.787368402E0,5.029529306E0
9.845515000E-1,1.968610745E0,-1.397990325E0,-2.029541510E0,3.154178808E0
9.945605000E-1,2.443376005E-2,8.363623381E-2,-1.995489811E0,1.997391202E0
1.004569500E0,-1.973519483E0,1.765764402E0,-1.704075108E0,3.149059390E0
1.014578500E0,-3.340182180E0,4.246860210E0,-1.510354514E0,5.610152351E0
1.024587500E0,-4.939645337E0,7.606320076E0,-1.765647750E0,9.239789669E0
1.034596500E0,-7.523855039E0,1.104275912E1,-2.232555668E0,1.354751743E1
1.044605500E0,-1.032709501E1,1.371902739E1,-2.451891012E0,1.734567304E1
1.054614500E0,-1.282336843E1,1.560331368E1,-2.507770221E0,2.035168512E1
1.064623500E0,-1.530303109E1,1.685551128E1,-2.063450829E0,2.285932743E1
1.074632500E0,-1.822152377E1,1.776768160E1,-1.097474138E0,2.547388639E1
1.084641500E0,-2.080685614E1,1.825105104E1,-6.440939006E-1,2.768467055E1
1.094650500E0,-2.224019581E1,1.705869969E1,-9.551874080E-1,2.804528352E1
1.104660500E0,-2.153037891E1,1.479655463E1,-2.045942803E0,2.620460125E1
1.114669500E0,-1.864630528E1,1.309056865E1,-3.452211616E0,2.304268763E1
1.124678500E0,-1.519625859E1,1.160298319E1,-4.637919362E0,1.967398765E1
1.134687500E0,-1.203046377E1,9.570641888E0,-5.964908409E0,1.648967486E1
1.144696500E0,-9.711518855E0,7.358753058E0,-8.047120614E0,1.460208873E1
1.154705500E0,-8.003378763E0,5.079084474E0,-9.986732093E0,1.376902279E1
1.164714500E0,-6.201162819E0,2.768271865E0,-1.040513663E1,1.242516067E1
1.174723875E0,-3.796721084E0,1.040122601E0,-8.560266412E0,9.422054291E0
1.184732875E0,-6.797850126E-1,-1.973751032E-1,-5.463566970E0,5.509231219E0
1.194741875E0,2.909857514E0,-1.248890419E0,-2.276503487E0,3.899931558E0
1.204750875E0,6.143634987E0,-2.118453832E0,4.074021193E-1,6.511380344E0
1.214759875E0,8.730923249E0,-2.932541202E0,2.882941318E0,9.650915465E0
1.224769875E0,1.055876169E1,-3.785977410E0,5.363514093E0,1.243335662E1
1.234778875E0,1.139776580E1,-4.747024021E0,7.320362579E0,1.435378036E1
1.244787875E0,1.132083399E1,-5.911283010E0,7.954988376E0,1.504614200E1
1.254796875E0,1.006495497E1,-6.861771303E0,7.550972087E0,1.433193649E1
1.264805875E0,8.541914926E0,-7.387172865E0,6.860720558E0,1.321378523E1
1.274814875E0,7.881413446E0,-7.899273766E0,5.843833623E0,1.259625323E1
1.284823875E0,7.716963429E0,-8.137219775E0,4.503399488E0,1.208496906E1
1.294832875E0,7.586411476E0,-8.003223812E0,3.014686104E0,1.143212853E1
1.304841875E0,7.649238054E0,-8.068776362E0,1.599725697E0,1.123276979E1
1.314850875E0,7.649652037E0,-8.081440262E0,4.492214057E-1,1.113681520E1
1.324859875E0,7.144561363E0,-7.941443301E0,-3.151736945E-2,1.068233458E1
1.334868875E0,6.139399264E0,-7.803608640E0,2.199193355E-1,9.931610930E0
1.344878875E0,4.652196801E0,-7.596534176E0,1.014477590E0,8.965457676E0
1.354887875E0,3.541578999E0,-7.480123129E0,1.914630420E0,8.494753291E0
1.364896875E0,3.029995576E0,-7.358058994E0,2.816062328E0,8.441096634E0
1.374905875E0,3.087198887E0,-7.158778283E0,3.645215926E0,8.606189785E0
1.384914875E0,3.775793315E0,-6.892626475E0,4.269317611E0,8.943824000E0
1.394923875E0,5.037104389E0,-6.471959655E0,4.454364738E0,9.332740627E0
1.404932875E0,6.616932011E0,-5.998230522E0,4.274243306E0,9.901096630E0
1.414941875E0,8.101535388E0,-5.497131742E0,3.882444774E0,1.053217501E1
1.424950875E0,8.692764319E0,-5.096309786E0,3.371363920E0,1.062556444E1
