"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.302375000E-3,-6.378682970E-1,-1.207862261E-1,8.836838543E-2,6.551902383E-1
1.331037500E-2,4.813135564E-2,1.318015033E-1,-1.607364500E-1,2.133646410E-1
2.331937500E-2,3.711129834E-1,4.856732404E-1,-1.578438324E-1,6.312828354E-1
3.332837501E-2,2.797707041E-1,6.533441958E-1,-2.841676641E-1,7.654289949E-1
4.333637501E-2,-1.894008167E-2,4.442968807E-1,-2.709196275E-1,5.207263095E-1
5.334537501E-2,1.938795646E-1,2.171474630E-1,3.141083318E-1,4.282596763E-1
6.335437500E-2,-1.917905007E-1,4.002851808E-1,8.777834290E-1,9.836236935E-1
7.336337501E-2,-1.002592832E-2,1.799433839E-1,1.375415980E0,1.387173117E0
8.337137500E-2,1.964923199E-1,-3.528794646E-3,7.160383344E-1,7.425177307E-1
9.338037501E-2,-2.590712683E-1,1.674721500E-1,-1.695663303E-1,3.520192942E-1
1.033893750E-1,-6.282612486E-1,3.118878517E-1,-4.081923705E-1,8.115462032E-1
1.133973750E-1,-2.053749713E-1,2.552619535E-1,-5.002158505E-1,5.979577249E-1
1.234063750E-1,2.540935336E-1,2.367508382E-1,-3.197105491E-1,4.720480043E-1
1.334153750E-1,3.714987534E-1,4.954301968E-1,-2.261439890E-1,6.592446492E-1
1.434233750E-1,8.995312706E-2,6.370512217E-1,-1.014392513E-1,6.513184673E-1
1.534323750E-1,-4.494851151E-1,4.894397244E-1,1.982188565E-1,6.934542722E-1
1.634413750E-1,-6.829914795E-1,1.608057395E-1,4.089998710E-1,8.121679268E-1
1.734493750E-1,-7.437235849E-1,-1.184210274E-1,5.071652663E-1,9.079454376E-1
1.834583750E-1,-7.789191453E-1,-1.625882632E-1,4.788413537E-1,9.286759501E-1
1.934673750E-1,-6.295714635E-1,9.292453587E-2,6.506500912E-1,9.101322641E-1
2.034753750E-1,-1.931813340E-1,4.811650372E-1,7.986092055E-1,9.521635804E-1
2.134843750E-1,1.309853782E-1,7.997543827E-1,8.287516022E-1,1.159134789E0
2.234933750E-1,-1.537028342E-2,9.845073938E-1,6.479527706E-1,1.178700067E0
2.335023750E-1,-6.352005780E-2,8.494618553E-1,4.801417744E-1,9.778324830E-1
2.435103750E-1,-1.531261526E-1,4.086063534E-1,2.758681262E-1,5.162460592E-1
2.535193750E-1,-6.524286680E-1,1.000449243E0,6.738319623E-1,1.371353845E0
2.635283750E-1,-9.334071144E-2,2.267900771E0,2.210258042E0,3.168174080E0
2.735363750E-1,2.011011245E0,3.277292745E0,3.974484041E0,5.530039544E0
2.835453750E-1,3.529976369E0,4.032669100E0,4.690268607E0,7.121921990E0
2.935543750E-1,3.829067296E0,4.386526511E0,4.054949330E0,7.095490488E0
3.035623750E-1,3.931455551E0,4.154009057E0,2.838202225E0,6.384945251E0
3.135713750E-1,3.756440785E0,3.819758821E0,2.345863743E0,5.848459757E0
3.235803750E-1,3.721062791E0,4.209064393E0,2.199289834E0,6.033192118E0
3.335883750E-1,3.896847636E0,5.281434388E0,2.752133549E0,7.117106839E0
3.435973750E-1,3.781712159E0,6.093751806E0,4.157034699E0,8.289517200E0
3.536063750E-1,3.587203945E0,5.991311511E0,5.279420607E0,8.754206287E0
3.636143750E-1,2.827946793E0,5.114627359E0,6.314143889E0,8.603784582E0
3.736233750E-1,2.535467312E0,3.947083112E0,6.841481465E0,8.295416096E0
3.836323750E-1,2.594722411E0,2.632101322E0,7.187592777E0,8.082204630E0
3.936413750E-1,2.496549999E0,3.086829343E0,6.472709852E0,7.593237131E0
4.036493750E-1,1.904895683E0,3.160564486E0,5.786152010E0,6.862750944E0
4.136583750E-1,2.270082951E0,2.561269906E0,5.385811281E0,6.381249352E0
4.236673750E-1,2.466316094E0,2.245120896E0,5.278607844E0,6.243955772E0
4.336753750E-1,2.763447619E0,1.712975155E0,5.116995481E0,6.062554691E0
4.436843750E-1,2.806579021E0,1.461642530E0,4.534968313E0,5.529848306E0
4.536933750E-1,2.753799421E0,1.184673373E0,3.587055134E0,4.674807674E0
4.637013750E-1,2.341411089E0,7.209985274E-1,2.999094211E0,3.872545784E0
4.737103750E-1,1.880478002E0,-3.292777634E-1,3.117422560E0,3.655536182E0
4.837193750E-1,1.497998178E0,-1.671830637E0,3.862380638E0,4.467325868E0
4.937273750E-1,1.102818201E0,-2.945513250E0,4.475519671E0,5.470149232E0
5.037363750E-1,2.902641173E-1,-3.836990858E0,4.497998415E0,5.919353161E0
5.137453750E-1,2.109894678E-2,-4.093699998E0,3.758794582E0,5.557639926E0
5.237533750E-1,-6.249284819E-2,-3.942678697E0,2.576042604E0,4.710054793E0
5.337623750E-1,-6.887923560E-1,-3.796842121E0,1.448626043E0,4.121766905E0
5.437713750E-1,-7.535463224E-1,-3.943418954E0,1.680578364E0,4.352324522E0
5.537793750E-1,-7.182599109E-2,-4.323848745E0,3.191985084E0,5.374904252E0
5.637883750E-1,5.477322983E-1,-4.347518858E0,4.388770965E0,6.201793408E0
5.737973750E-1,1.007320452E0,-4.190442765E0,5.156023892E0,6.720051148E0
5.838063750E-1,1.142386456E0,-4.357197754E0,4.767751231E0,6.559090705E0
5.938143750E-1,9.814558051E-1,-4.532749879E0,3.541549178E0,5.835378955E0
6.038233750E-1,7.740204942E-1,-4.651235518E0,2.695228447E0,5.431146836E0
6.138323750E-1,6.660275374E-1,-4.821056787E0,2.364746742E0,5.410934150E0
6.238403750E-1,3.007768263E-1,-5.546744782E0,1.802571455E0,5.840043512E0
6.338493750E-1,-5.546655612E-1,-5.889605042E0,1.540121520E0,6.112861501E0
6.438583750E-1,-1.193110905E0,-4.712283958E0,1.684607973E0,5.144612498E0
6.538663750E-1,-6.410498402E-1,-3.439032285E0,2.203825520E0,4.134577956E0
6.638753750E-1,-2.675475383E-1,-3.394133270E0,2.650294933E0,4.314601438E0
6.738843750E-1,-3.376500991E-1,-3.595564002E0,2.685955347E0,4.500715966E0
6.838923750E-1,-7.545504355E-1,-3.802856568E0,2.198326798E0,4.456871677E0
6.939013750E-1,-1.355067962E0,-4.250149269E0,2.540202388E0,5.133478953E0
7.039103750E-1,-2.025700620E0,-4.576680595E0,3.497714941E0,6.106019823E0
7.139193750E-1,-2.474140253E0,-4.620803685E0,3.817722529E0,6.484458496E0
7.239273750E-1,-2.325159922E0,-4.478640330E0,3.496180047E0,6.139044127E0
7.339363750E-1,-1.734442622E0,-4.165464630E0,2.987499182E0,5.411519025E0
7.439453750E-1,-9.008007011E-1,-3.531812979E0,2.152263018E0,4.232892737E0
7.539533750E-1,-2.368829852E-1,-2.623873120E0,9.889910388E-1,2.814058808E0
7.639623750E-1,1.441876602E-1,-1.843693753E0,7.001689911E-2,1.850648293E0
7.739713750E-1,2.140197873E-1,-1.584359214E0,-3.381468201E-1,1.634118068E0
7.839793750E-1,-1.256788838E-1,-1.933452022E0,-1.117539736E0,2.236722371E0
7.939883750E-1,-5.979093754E-1,-2.691350573E0,-3.530607283E-1,2.779481140E0
8.039973750E-1,-7.579716414E-1,-3.195227365E0,-5.475332737E-2,3.284356383E0
8.140053750E-1,-7.916229522E-1,-2.910566196E0,5.861997414E-1,3.072733737E0
8.240143750E-1,-7.790853524E-1,-2.551086980E0,1.247775940E0,2.944819784E0
8.340233750E-1,-3.726214188E-1,-2.626507291E0,1.038834971E0,2.848958646E0
8.440313750E-1,2.956510109E-1,-2.693804650E0,7.226566516E-2,2.710943625E0
8.540403750E-1,8.330142224E-1,-2.498995889E0,-1.037497201E0,2.831129385E0
8.640493750E-1,1.444799041E0,-2.291376464E0,-1.216093313E0,2.969298455E0
8.740583750E-1,1.767067162E0,-2.328336130E0,-4.711802586E-1,2.960690177E0
8.840663750E-1,1.652551197E0,-2.773046116E0,2.743864417E-1,3.239752790E0
8.940753750E-1,1.400059655E0,-2.986646658E0,1.020619798E0,3.452809011E0
9.040843750E-1,1.344857261E0,-2.583587558E0,1.027954618E0,3.088730552E0
9.140923750E-1,1.786865249E0,-1.572344356E0,-1.010610826E-1,2.382302990E0
9.241013750E-1,1.981431935E0,-6.651207805E-3,-1.806534844E0,2.681358778E0
9.341103750E-1,1.342732968E0,4.686631054E-1,-3.350391419E0,3.639738945E0
9.441183750E-1,4.237623364E-1,-7.269673651E-1,-3.635984634E0,3.732082572E0
9.541273750E-1,-8.674069601E-1,-1.411225498E0,-2.369168991E0,2.890832743E0
9.641363750E-1,-1.984813964E0,-1.169667664E0,-1.250012061E0,2.621095013E0
9.741443750E-1,-2.084784980E0,-9.434067303E-1,-1.005494220E0,2.499472604E0
9.841533750E-1,-1.897616776E0,-8.498933798E-1,-7.029731695E-1,2.194866616E0
9.941623750E-1,-1.707166530E0,-7.133883762E-1,-3.509741494E-1,1.883221546E0
