"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.428791664E-3,-3.964251414E-2,1.938819766E-1,-6.901053482E-1,7.179186176E-1
1.343779167E-2,-8.873898196E-1,2.084298491E-1,-7.803384107E-1,1.199929885E0
2.344679167E-2,-9.166371538E-1,-2.885016203E-2,-6.849726623E-1,1.144658705E0
3.345479167E-2,-4.718165088E-1,-3.081272149E-1,-3.191550636E-1,6.476211494E-1
4.346379168E-2,-4.257705626E-1,-2.406304657E-1,9.128094202E-1,1.035569713E0
5.347279167E-2,-4.583177729E-1,1.001043320E-3,1.992660343E0,2.044688589E0
6.348179167E-2,1.359438170E-1,1.537876189E-1,1.449083880E0,1.463548921E0
7.349079168E-2,5.891822599E-1,1.098200655E-1,2.037713724E-1,6.330236602E-1
8.349979167E-2,3.040954135E-1,2.979238236E-1,-5.630471063E-1,7.058715670E-1
9.350779167E-2,-2.616389269E-1,5.974164551E-1,-3.455710298E-1,7.380925996E-1
1.035167917E-1,-3.801311441E-1,5.692588958E-1,1.990871680E-1,7.128752188E-1
1.135257917E-1,-2.796094671E-2,2.780149314E-1,3.822722483E-1,4.735041588E-1
1.235347917E-1,1.558250812E-1,7.573226005E-2,-4.015867710E-3,1.733001971E-1
1.335437917E-1,-3.354299113E-2,1.362313539E-1,-4.020469469E-1,4.258237447E-1
1.435527917E-1,-1.069460128E-1,2.695981568E-1,-4.109218508E-1,5.029685709E-1
1.535617917E-1,-6.063869610E-2,4.115159279E-1,-3.000001699E-1,5.128572046E-1
1.635697917E-1,-1.843203172E-2,4.725857100E-1,-1.618287098E-1,4.998655063E-1
1.735787917E-1,-3.552958265E-2,4.359871101E-1,1.152544677E-2,4.375842175E-1
1.835877917E-1,-8.101046853E-2,3.591617131E-1,1.744920248E-1,4.074399329E-1
1.935967917E-1,-1.243688151E-2,3.032754877E-1,1.536244816E-1,3.401928553E-1
2.036057917E-1,2.796920590E-2,2.681427848E-1,9.227491021E-2,2.849517303E-1
2.136147917E-1,1.064305808E-1,2.065604943E-1,2.090619332E-1,3.125725487E-1
2.236227917E-1,7.196372956E-2,9.658518523E-2,3.840690976E-1,4.025127925E-1
2.336317917E-1,8.123500161E-2,7.896080017E-3,4.560103154E-1,4.632568201E-1
2.436407917E-1,5.041001558E-2,-5.636832833E-2,2.033550507E-1,2.169604451E-1
2.536497917E-1,4.140419251E-1,4.823602080E-2,-3.639342105E-1,5.533584182E-1
2.636587917E-1,1.111657218E0,-2.158587366E-2,-9.405983126E-1,1.456356037E0
2.736677917E-1,1.290557385E0,-1.683126873E-1,-1.209422883E0,1.776674206E0
2.836757917E-1,8.579719660E-1,-1.229488188E-1,-1.749402723E0,1.952342745E0
2.936847917E-1,-1.177169495E-1,-2.428380820E-1,-2.200782629E0,2.217266739E0
3.036937917E-1,-2.789142331E-1,1.196656072E-1,-2.486545998E0,2.504999802E0
3.137027917E-1,1.133869840E0,9.657933801E-1,-2.446014853E0,2.863809758E0
3.237117917E-1,2.357887373E0,9.236969358E-1,-2.554190682E0,3.596767845E0
