"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.295250004E-3,-6.292717937E-1,-9.177117258E-2,-1.748778241E0,1.860814411E0
1.330525000E-2,-1.410869841E0,-2.005413705E-1,-3.190566550E0,3.494350506E0
2.331425001E-2,-1.423940122E0,-1.298359618E-1,-2.872596132E0,3.208780358E0
3.332425001E-2,-5.940372030E-1,2.407553038E-1,-1.183403943E0,1.345841078E0
4.333325001E-2,-3.008310592E-1,4.165509653E-1,3.001579862E0,3.045241485E0
5.334325001E-2,2.281846672E-1,5.509819615E-1,5.801409150E0,5.831980580E0
6.335325001E-2,4.686540422E-1,7.180676106E-1,2.820167073E0,2.947643130E0
7.336225001E-2,3.984457929E-1,9.480111203E-1,-4.014838600E-1,1.103935426E0
8.337225001E-2,-1.557095987E-1,1.105940907E0,-1.781754198E0,2.102854914E0
9.338125000E-2,-9.102031700E-1,9.972955468E-1,-1.465880592E0,1.992956128E0
1.033912500E-1,-9.035518160E-1,8.517630270E-1,-5.393407398E-1,1.353807435E0
1.134012500E-1,-6.111465946E-1,7.456778705E-1,1.847012633E-1,9.816568664E-1
1.234102500E-1,-3.244478171E-1,5.832053822E-1,1.979604095E-1,6.961201244E-1
1.334202500E-1,-2.140064849E-1,4.852691978E-1,-1.649248105E-1,5.554144066E-1
1.434292500E-1,-2.696101436E-1,5.690849411E-1,-2.742022544E-1,6.868290734E-1
1.534395417E-1,-6.687103862E-1,5.808814064E-1,-1.348765540E-1,8.959846392E-1
1.634495417E-1,-7.138621469E-1,5.103324106E-1,-2.775322437E-2,8.779570465E-1
1.734585417E-1,-4.279837337E-1,4.027480280E-1,9.473307967E-2,5.952733883E-1
1.834685417E-1,-2.890154444E-1,3.085137159E-1,3.489501357E-1,5.481576755E-1
1.934775417E-1,-3.027086002E-1,3.458247989E-1,5.063489950E-1,6.838249724E-1
2.034875417E-1,-2.268158340E-1,4.802487785E-1,3.982105887E-1,6.638192410E-1
2.134975417E-1,-1.484249912E-1,6.094456396E-1,1.385755026E-1,6.423839471E-1
2.235065417E-1,4.640438050E-2,7.819624749E-1,-2.060886240E-1,8.099945676E-1
2.335165417E-1,9.447273239E-2,9.530847493E-1,-5.727628398E-1,1.115953810E0
2.435255417E-1,-1.039731422E-1,1.022766311E0,-9.947832906E-1,1.430543650E0
2.535355417E-1,-2.317638941E-1,1.000620274E0,-1.484167759E0,1.804912566E0
2.635455417E-1,-2.404261056E-1,9.962187821E-1,-1.546100882E0,1.854908222E0
2.735545417E-1,-1.171090584E-1,9.981735063E-1,-1.081147251E0,1.476124743E0
2.835645417E-1,9.985882200E-2,8.257589972E-1,-6.471376687E-1,1.053867576E0
2.935735417E-1,2.029908422E-1,6.592238635E-1,-5.472257102E-1,8.804756454E-1
3.035835417E-1,2.125819570E-1,6.469622523E-1,-7.553795707E-1,1.017029764E0
3.135935417E-1,2.601230362E-1,8.055083352E-1,-9.994774354E-1,1.309756777E0
3.236025417E-1,5.217710263E-1,1.127166300E0,-8.501822323E-1,1.505177298E0
3.336125417E-1,5.979703327E-1,1.472294987E0,-3.983479983E-1,1.638261938E0
3.436215417E-1,6.516622442E-1,1.580283120E0,-6.902404189E-2,1.710766711E0
3.536315417E-1,7.711923422E-1,1.474593674E0,1.967938900E-1,1.675676570E0
3.636415417E-1,9.428418893E-1,1.274598287E0,2.563226384E-1,1.606005267E0
3.736505417E-1,1.074701061E0,1.033198620E0,-2.959100425E-2,1.491092682E0
3.836605417E-1,1.037836339E0,9.039098118E-1,-4.332669854E-1,1.442871268E0
3.936695417E-1,8.611174026E-1,8.451916337E-1,-7.469741982E-1,1.419099197E0
4.036795417E-1,6.899781713E-1,7.962359668E-1,-9.367935294E-1,1.409838185E0
4.136895417E-1,4.982935052E-1,7.362235075E-1,-9.461800647E-1,1.298298188E0
4.236985417E-1,2.476669137E-1,6.085597864E-1,-7.669892174E-1,1.009928895E0
4.337085417E-1,5.469993498E-2,2.846873353E-1,-5.027085185E-1,5.803057956E-1
4.437175417E-1,-5.778192926E-2,-6.065375268E-2,-2.165381831E-1,2.321775480E-1
4.537275417E-1,-7.403274855E-2,-2.130267839E-1,2.275011277E-1,3.203404777E-1
4.637375417E-1,1.220058091E-3,-2.030751152E-1,6.222940189E-1,6.545921149E-1
4.737465417E-1,8.669915155E-2,-1.182725081E-1,7.445926273E-1,7.588961126E-1
4.837565417E-1,1.593724773E-1,-6.276182011E-2,8.236914217E-1,8.413121839E-1
4.937655417E-1,1.851748147E-1,-1.524208322E-2,1.017028438E0,1.033861150E0
5.037755417E-1,1.499253685E-1,7.166464448E-2,1.179072910E0,1.190725142E0
5.137855417E-1,2.810933991E-1,1.352661248E-1,1.256014082E0,1.294172244E0
5.237945417E-1,5.900161459E-1,1.206328829E-1,1.175175741E0,1.320495879E0
5.338045417E-1,7.868229729E-1,1.500481783E-1,1.059888529E0,1.328521185E0
5.438135417E-1,8.427494710E-1,3.574417546E-1,9.167264700E-1,1.295522559E0
5.538235417E-1,9.322952664E-1,5.604224373E-1,9.512080854E-1,1.445006780E0
5.638335417E-1,1.018174200E0,6.160649800E-1,1.135029343E0,1.644538345E0
5.738425417E-1,1.089337445E0,6.713154669E-1,1.264153406E0,1.798722980E0
5.838525417E-1,1.208883916E0,7.079761934E-1,1.266377102E0,1.888475993E0
5.938615417E-1,1.226658720E0,6.743805774E-1,1.263562253E0,1.885754582E0
6.038715417E-1,1.067713565E0,6.203486502E-1,1.356686178E0,1.834514130E0
6.138815417E-1,7.456239299E-1,5.004590946E-1,1.485746507E0,1.736046380E0
6.238905417E-1,4.130272870E-1,2.690097807E-1,1.606012039E0,1.679950139E0
6.339005417E-1,1.726035568E-1,-1.870217308E-2,1.883837228E0,1.891820409E0
6.439095417E-1,7.860751871E-2,-2.463132285E-1,2.043968491E0,2.060256426E0
6.539195417E-1,1.153100894E-1,-4.146257696E-1,1.870155328E0,1.919034105E0
6.639295417E-1,2.247376971E-1,-4.545914885E-1,1.513289816E0,1.595997031E0
6.739385417E-1,2.591635812E-1,-3.546576029E-1,1.092711289E0,1.177695096E0
6.839485417E-1,2.702571746E-1,-2.393003704E-1,5.491763413E-1,6.571896693E-1
6.939575417E-1,3.721091297E-1,-1.202247472E-1,-3.936871827E-2,3.930255592E-1
7.039675417E-1,5.321280897E-1,3.392554522E-2,-6.667691106E-1,8.537518921E-1
7.139775417E-1,5.959586712E-1,1.545831326E-1,-1.170350034E0,1.322415171E0
7.239865417E-1,5.198275214E-1,1.347091775E-1,-1.489988077E0,1.583802919E0
7.339965417E-1,2.820410683E-1,4.188287482E-2,-1.588468637E0,1.613856856E0
7.440055417E-1,8.265183678E-2,-7.176112354E-2,-1.533477913E0,1.537379425E0
7.540155417E-1,5.522168021E-2,-1.481767769E-1,-1.441046298E0,1.449696597E0
7.640255417E-1,1.886687636E-1,-1.569661653E-1,-1.313163013E0,1.335900962E0
7.740345417E-1,4.368867043E-1,-8.666845366E-2,-1.197363001E0,1.277520868E0
7.840445417E-1,6.874078084E-1,3.939064533E-2,-1.085168965E0,1.285174230E0
7.940535417E-1,8.247901136E-1,1.913268895E-1,-7.428747153E-1,1.126386946E0
8.040635417E-1,9.771567129E-1,2.715072727E-1,-2.243974257E-1,1.038703829E0
8.140735417E-1,1.093512650E0,2.336703788E-1,1.946064466E-1,1.135008119E0
8.240825417E-1,1.084488203E0,1.299581686E-1,5.717226201E-1,1.232830298E0
8.340925417E-1,8.924622792E-1,-6.412115157E-2,8.266243851E-1,1.218157755E0
8.441015417E-1,5.818586954E-1,-3.330590115E-1,1.028939216E0,1.228089474E0
8.541115417E-1,2.971916060E-1,-4.427371359E-1,1.371348072E0,1.471371658E0
8.641215417E-1,5.693141520E-2,-4.110594065E-1,1.781193450E0,1.828896150E0
8.741305417E-1,-1.697593615E-1,-5.041700301E-1,1.969527588E0,2.040108963E0
8.841405417E-1,-3.380675172E-1,-7.748021208E-1,1.833080472E0,2.018611402E0
8.941495417E-1,-4.771200795E-1,-1.005807485E0,1.490326631E0,1.860205831E0
9.041595417E-1,-7.110883009E-1,-1.081924053E0,1.061665497E0,1.674317729E0
9.141695417E-1,-9.463665909E-1,-1.035437812E0,5.319235468E-1,1.500227931E0
9.241785417E-1,-1.018454354E0,-8.343742847E-1,6.270671010E-2,1.318090229E0
9.341885417E-1,-9.295902713E-1,-5.449471964E-1,-2.296464711E-1,1.101745443E0
9.441975417E-1,-6.962140075E-1,-2.995263992E-1,-4.944990277E-1,9.049636990E-1
9.542075417E-1,-4.381152043E-1,-1.411200647E-1,-7.258563942E-1,8.594924722E-1
9.642175417E-1,-1.362303672E-1,3.053766847E-2,-8.847533101E-1,8.957006653E-1
9.742265417E-1,2.302880203E-1,2.164937443E-1,-9.497076899E-1,1.000922979E0
9.842365417E-1,6.124397063E-1,3.992772670E-1,-8.632677162E-1,1.131254118E0
9.942455417E-1,9.403775802E-1,5.123710424E-1,-7.161698967E-1,1.288306407E0
1.004255542E0,1.155792221E0,5.298191339E-1,-5.991817296E-1,1.405554239E0
1.014265542E0,1.306110979E0,4.665677556E-1,-6.250240839E-1,1.521271332E0
1.024274542E0,1.316397986E0,4.222544856E-1,-7.004432255E-1,1.549781668E0
1.034284542E0,1.203074926E0,4.444594333E-1,-6.784524322E-1,1.450941477E0
1.044293542E0,1.053063658E0,5.490652442E-1,-5.972790456E-1,1.329344940E0
1.054303542E0,9.524131235E-1,6.475819109E-1,-3.850923604E-1,1.214392529E0
1.064313542E0,8.718137142E-1,6.789063223E-1,-1.450571412E-1,1.114457052E0
1.074322542E0,7.042094171E-1,6.425049198E-1,6.290083766E-2,9.553428654E-1
1.084332542E0,5.663194640E-1,5.650848609E-1,2.024025393E-1,8.252305273E-1
1.094341542E0,4.494687064E-1,4.698707016E-1,3.067127734E-1,7.189390236E-1
1.104351542E0,3.709971720E-1,3.845352669E-1,2.676410937E-1,5.976102644E-1
1.114361542E0,3.858443123E-1,3.891323479E-1,1.405138546E-1,5.657242799E-1
1.124370542E0,4.472477511E-1,5.485495198E-1,5.845227599E-2,7.101787065E-1
1.134380542E0,5.082876393E-1,7.111398295E-1,-7.100624800E-2,8.769937677E-1
1.144389542E0,6.157781741E-1,7.996156575E-1,-2.482201517E-1,1.039317662E0
