"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.893208330E-3,-2.276233345E-1,-2.992607895E-1,-1.881375550E0,1.918578474E0
1.492620833E-2,-5.125198540E-1,8.631513566E-2,-1.489978137E0,1.578024636E0
2.495820833E-2,-4.988961339E-1,2.826605442E-1,-1.044860015E0,1.191858543E0
3.499020833E-2,-2.192708793E-1,2.563743863E-1,-6.958151543E-1,7.732827901E-1
4.502220833E-2,3.661146373E-2,1.059211421E-1,-3.136504948E-1,3.330710442E-1
5.505420832E-2,2.360950729E-1,-1.838735899E-1,9.181181073E-2,3.130172345E-1
6.508620833E-2,3.229443517E-1,-4.819827703E-1,2.595929861E-1,6.356012615E-1
7.511820833E-2,1.618740258E-1,-5.452899894E-1,1.662269855E-1,5.926008635E-1
8.515020832E-2,1.039605707E-2,-4.216193318E-1,3.614163995E-3,4.217629680E-1
9.518220833E-2,-4.536094487E-2,-2.129807371E-1,-1.516060227E-1,2.653352517E-1
1.052152083E-1,-8.295854151E-2,2.391598910E-2,-2.351060164E-1,2.504574477E-1
1.152472083E-1,-1.828903806E-1,2.355805179E-1,-3.118665093E-1,4.315180082E-1
1.252792083E-1,-3.201113757E-1,3.548645943E-1,-3.877557671E-1,6.154305063E-1
1.353112083E-1,-4.170400849E-1,3.393256187E-1,-4.057558358E-1,6.735741282E-1
1.453432083E-1,-5.020808199E-1,2.146977720E-1,-4.652302051E-1,7.173697977E-1
1.553752083E-1,-5.587545191E-1,1.469595328E-1,-4.884506679E-1,7.565631314E-1
1.654072083E-1,-5.739214656E-1,1.437871259E-1,-4.919759542E-1,7.694809457E-1
1.754392083E-1,-5.551190127E-1,1.926853439E-1,-4.538345665E-1,7.424625067E-1
1.854712083E-1,-4.974945563E-1,2.728492087E-1,-4.157937509E-1,7.034429384E-1
1.955042083E-1,-5.009124000E-1,3.579352596E-1,-3.533156669E-1,7.098329684E-1
2.055362083E-1,-4.198122498E-1,3.397960272E-1,-1.860548937E-1,5.712443336E-1
2.155682083E-1,-2.542019995E-1,3.401190859E-1,8.525825143E-3,4.247026475E-1
2.256002083E-1,-1.317940481E-1,3.711727712E-1,2.347604460E-1,4.585317482E-1
2.356322083E-1,-3.364546359E-2,3.874122432E-1,4.313069987E-1,5.807288443E-1
2.456642083E-1,3.116273582E-2,3.478391647E-1,6.371529633E-1,7.265859201E-1
2.556962083E-1,1.185670616E-1,2.882940441E-1,8.396964204E-1,8.956906176E-1
2.657282083E-1,2.251319821E-1,1.529511747E-1,9.591591293E-1,9.970279366E-1
2.757602083E-1,3.238185105E-1,-1.100445986E-1,8.194095057E-1,8.879190163E-1
2.857922083E-1,3.310323666E-1,-2.516536367E-1,5.825089788E-1,7.157015377E-1
2.958252083E-1,2.794290805E-1,-1.675607353E-1,3.848380065E-1,5.042395287E-1
3.058572083E-1,1.639679137E-1,7.082732320E-2,2.811931854E-1,3.331239919E-1
3.158892083E-1,7.462669775E-2,3.165562686E-1,2.573727983E-1,4.147502532E-1
3.259212083E-1,-5.406657189E-2,4.393556911E-1,1.866741139E-1,4.804204849E-1
3.359532083E-1,-1.269864674E-1,4.734829652E-1,8.875488639E-2,4.981858199E-1
3.459852083E-1,-1.071796091E-1,4.644095483E-1,-3.620771348E-2,4.779902674E-1
3.560172083E-1,-1.007475257E-2,4.620882037E-1,-1.864776474E-1,4.983983564E-1
3.660492083E-1,9.469755784E-2,4.455470154E-1,-1.741353446E-1,4.876503754E-1
3.760822083E-1,8.970008880E-2,5.140018308E-1,-8.157392085E-2,5.281082205E-1
3.861142083E-1,5.122263238E-2,5.061905354E-1,-6.376739502E-2,5.127561768E-1
3.961462083E-1,2.791387662E-2,2.922505626E-1,-9.681118011E-2,3.091310086E-1
4.061782083E-1,-3.377329834E-2,1.778585592E-1,-6.655300856E-2,1.928823624E-1
4.162102083E-1,-4.284868866E-2,1.998540303E-1,-1.249374568E-2,2.047772869E-1
